,company,description,location,post_date,salary,title,temp,city,temp1,state
204,Adelphic Mobile,"This individual works closely with data scientists, software. Experience in Data Analytics. The Data Analyst supports Adelphic’s programmatic advertising...",United States,30+ days ago,,Data Analyst,[u'United States'],United States,[],
205,American Student Assistance,"Ability to work with data in varying structures, ranging from traditional structured data and semi-structured data to unstructured data....","Boston, MA",12 days ago,,Data Scientist,"[u'Boston', u' MA']",Boston,[u' MA'],MA
206,Priserve Consulting Inc,"Data Scientist with Industry Domain expertise of Logistics & Distribution*. Experience working with very large data sets, grouping together data and visualizing...","Cincinnati, OH",6 days ago,,Data Scientist with Industry Domain expertise of Logistics &...,"[u'Cincinnati', u' OH']",Cincinnati,[u' OH'],OH
207,Enterprise Solution Inc,"Business Analyst/Data Scientist*. As part of Consulting Team, develop and communicate insights gained through data analysis and research....","Detroit, MI",11 days ago,,Business Analyst/Data Scientist,"[u'Detroit', u' MI']",Detroit,[u' MI'],MI
208,Oscar Technology,"Work with data scientist to identify data needs, sources, and structure to support client issues problem solving....","Houston, TX",12 days ago,"<nobr>$160,000 a year</nobr>",Big Data Analytics Manager,"[u'Houston', u' TX']",Houston,[u' TX'],TX
209,Jane.com,Data visualization expertise. Work with our data engineering team to ensure we are collecting the data we need. Work with multiple types of data:....,"Lehi, UT 84043",29 days ago,,Data Scientist,"[u'Lehi', u' UT 84043']",Lehi,[u' UT 84043'],UT
210,FM Global,"Proficiency in SQL and experience with statistical software packages Analytical skills including critical thinking, data mining, data modeling data warehouse...","Johnston, RI",9 days ago,,Statistical Analyst,"[u'Johnston', u' RI']",Johnston,[u' RI'],RI
211,MONSANTO,Monsanto Biotechnology is seeking a highly motivated Research Scientist to become an integral member of the multidisciplinary Plant Disease Discovery and...,"St. Louis, MO",6 days ago,,Research Scientist,"[u'St. Louis', u' MO']",St. Louis,[u' MO'],MO
212,Accenture,"Minimum of 2 years of Data Analysis / Data Analytics / Data Scientist experience. Work closely with clients to define data sources, data correlation, and...","Atlanta, GA",7 days ago,,Telecommunications Data Analytics Consultant,"[u'Atlanta', u' GA']",Atlanta,[u' GA'],GA
213,Dataminr,"You're a dedicated data scientist who wants nothing more than to help us sort, analyze and deliver relevant information from terabytes of unstructured data in...","New York, NY",30+ days ago,,Data Scientist,"[u'New York', u' NY']",New York,[u' NY'],NY
214,BOEING,"Manage employees performing data science and analytics. BCA Analytics is seeking a motivated, entrepreneurial front-line leader to grow, manage and inspire an...","Tukwila, WA",11 days ago,,BCA Analytics – Data Science Manager,"[u'Tukwila', u' WA']",Tukwila,[u' WA'],WA
215,Nomi,Good data modeling intuition. Scale new algorithms to large data sets. Our vision is to explore and understand our unique data while building statistical models...,"Atlanta, GA",28 days ago,,Data Scientist,"[u'Atlanta', u' GA']",Atlanta,[u' GA'],GA
216,KUONI,"Ability to aggregate data and format in a visually presentable way in MS Excel, Powerpoint, Word. Generate reports from GTA databases (Atlas, Sales Force,...","New York, NY",8 days ago,,Quantitative Business Analyst,"[u'New York', u' NY']",New York,[u' NY'],NY
217,Thomson Reuters,Principal Data Scientist. Explores existing data for insights and recommends additional sources of data for improvements....,"Philadelphia, PA",8 days ago,,Principal Data Scientist,"[u'Philadelphia', u' PA']",Philadelphia,[u' PA'],PA
218,Cogo Labs,"As a Cogo Labs Quantitative Data Analyst , you'll run and grow new business lines within our incubator. We're not venture capitalists--we're a collaborative...","Cambridge, MA",11 days ago,,Quantitative Data Analyst,"[u'Cambridge', u' MA']",Cambridge,[u' MA'],MA
219,Azavar,"Products, and data analysis tools.  Able to perform repetitive data analysis tasks for extended periods of time. ANALYST POSITION TO BE FILLED IMMEDIATELY....","Chicago, IL",11 hours ago,,Analyst-Data Analysis,"[u'Chicago', u' IL']",Chicago,[u' IL'],IL
220,Strategic Employment Partners,"Ground-breaking startup, located in Waltham, involved with understanding cognitive studies, emotions, and psychology is looking to add a new Data Scientist....","Waltham, MA",19 days ago,"<nobr>$90,000 a year</nobr>",Data Scientist,"[u'Waltham', u' MA']",Waltham,[u' MA'],MA
221,Kabbage,"What it takes to be a Data Scientist at Kabbage. A day in the life of a Data Scientist at Kabbage. Work with multiple, complex data sources such as financial...","New York, NY 10001 (Chelsea area)",30+ days ago,,Data Scientist,"[u'New York', u' NY 10001 (Chelsea area)']",New York,[u' NY 10001 (Chelsea area)'],NY
222,Agile Solutions,"Will be working with Data analysis and discovery for the SAP Consumer Insight 365 product, by analyzing data, applying static logics, building decision trees,...","Boston, MA 02109 (Central area)",30+ days ago,,Data Scientist,"[u'Boston', u' MA 02109 (Central area)']",Boston,[u' MA 02109 (Central area)'],MA
223,LG Electronics,"Loves data – creates quantitative studies, interprets and mines existing data to create actionable insights;...","Lincolnshire, IL",30+ days ago,,Marketing Intelligence and Analytics Manager,"[u'Lincolnshire', u' IL']",Lincolnshire,[u' IL'],IL
224,Comcast,"Collaborating with executive leaders and business owners, the Data Scientist will be leading teammates to solve business problems using broad spectrum of data...","New York, NY 10012 (Little Italy area)",15 days ago,,Principal Data Scientist,"[u'New York', u' NY 10012 (Little Italy area)']",New York,[u' NY 10012 (Little Italy area)'],NY
225,Colorado State University,"Topics could include data assimilation, machine learning and compiler development. Application areas may also include research in machine learning, data...","Fort Collins, CO",7 days ago,,Research Associate III HPC Software Engineer (16-113),"[u'Fort Collins', u' CO']",Fort Collins,[u' CO'],CO
226,Intermountain Healthcare,"Compares data output to ensure data accuracy. Utilizes EDW, and less often external data sources, to work with data from:....","Murray, UT",7 days ago,,Statistical Data Analyst,"[u'Murray', u' UT']",Murray,[u' UT'],UT
227,FM Global,"PhD or Masters degree in Data Science, Statistics, Economics, Econometrics, Operations Research, or other relevant analytics fields Business experience in...","Norwood, MA",9 days ago,,Sr. Research Scientist Data Science Analytics,"[u'Norwood', u' MA']",Norwood,[u' MA'],MA
228,eTemp,"High growth company focused on using data science to transform the way individuals are hired, is looking for an inventive, collaborative, methodologically...","New York, NY",8 days ago,,Mid - Senior Level Data Scientist,"[u'New York', u' NY']",New York,[u' NY'],NY
229,Cymertek,Senior Data Scientist. Cymertek is seeking a Senior Data Scientist to support the deployment and evolution of a core web application and data workflow...,"McLean, VA",7 days ago,,Senior Data Scientist,"[u'McLean', u' VA']",McLean,[u' VA'],VA
230,Aescentia,"Work with data scientists to provide data modeling, mining, pattern analysis, data visualization and machine learning solutions to fulfill customer requirements...","Phoenix, AZ",14 days ago,,Analytics Solutions Leader,"[u'Phoenix', u' AZ']",Phoenix,[u' AZ'],AZ
231,Mount Sinai Health System,Associate Computational Scientist works with scientists and researchers to. Computational and data workflow;...,"New York, NY 10019 (Midtown area)",30+ days ago,,ASSOCIATE COMPUTATIONAL SCIENTIST,"[u'New York', u' NY 10019 (Midtown area)']",New York,[u' NY 10019 (Midtown area)'],NY
232,Ibotta,Data Scientist who will help build out our new data products vertical. Data Scientist will report to the Head of Ibottalytics....,"Denver, CO 80202 (Lodo area)",30+ days ago,,Senior Data Scientist,"[u'Denver', u' CO 80202 (Lodo area)']",Denver,[u' CO 80202 (Lodo area)'],CO
233,Bugcrowd,"As a data scientist in a small team of engineers, you’ll have the chance to pitch ideas, do R&D, and to own data products that will change the course of our...","San Francisco, CA",19 days ago,,Data Scientist,"[u'San Francisco', u' CA']",San Francisco,[u' CA'],CA
234,Boxed,Grow as an data scientist. There is a tremendous amount of things happening across our platforms and we are looking for a seasoned Data Scientist to leverage...,"San Mateo, CA 94403 (Sugerloaf area)",6 days ago,,Senior Data Scientist,"[u'San Mateo', u' CA 94403 (Sugerloaf area)']",San Mateo,[u' CA 94403 (Sugerloaf area)'],CA
235,Honeywell,"Help scientists and engineers in researching, developing, and producing polymeric materials. 3 years’ experience working in an industrial or research laboratory...","Colonial Heights, VA 23834",6 days ago,,Technician Sr R&D,"[u'Colonial Heights', u' VA 23834']",Colonial Heights,[u' VA 23834'],VA
236,Booz Allen Hamilton,"Perform as a data scientist with a focus on computer science and apply knowledge of and expertise in distributed, scalable Big Data store, including Accumulo,...","Alexandria, VA",16 days ago,,"Data Scientist, Junior","[u'Alexandria', u' VA']",Alexandria,[u' VA'],VA
237,UncommonGoods,"We’re looking for a passionate Data Analyst that can rigorously analyze data and translate it into actionable insight that informs product, marketing, and...","New York, NY 10014 (West Village area)",30+ days ago,,Junior Data Scientist,"[u'New York', u' NY 10014 (West Village area)']",New York,[u' NY 10014 (West Village area)'],NY
238,Google,"As a Data Scientist, you should be experienced with and passionate about using data to drive strategy and product recommendations....","Mountain View, CA",1 day ago,,"Data Scientist / Quantitative Analyst, YouTube","[u'Mountain View', u' CA']",Mountain View,[u' CA'],CA
239,Facebook,"Computer Vision Research Scientist, Interaction and Tracking (Oculus) (Redmond, WA) Careers at Oculus Part of Facebook Great virtual reality technology depends...","Redmond, WA",13 days ago,,"Computer Vision Research Scientist, Interaction and Tracking...","[u'Redmond', u' WA']",Redmond,[u' WA'],WA
240,Tiger Analytics,"As a Data Scientist you will work with our clients to define a business problem into an analytical problem, determine solution requirements, design the analysis...","Boston, MA",16 days ago,,Sr Data Scientist,"[u'Boston', u' MA']",Boston,[u' MA'],MA
241,Washington University in St. Louis,"Ability to analyze and interpret statistical data and to communicate data in a clear, concise manner. Perform complex statistical analysis of data collected and...","St. Louis, MO",12 days ago,"<nobr>$44,969 - $60,715 a year</nobr>",Staff Scientist - Pediatrics Newborn Medicine,"[u'St. Louis', u' MO']",St. Louis,[u' MO'],MO
242,Zinger Software Solutions,Strong understanding of algorithms and advanced data structures. Experience in solutions that leverage distributed processing of large data sets (e.g....,"Atlanta, GA",26 days ago,,Data Scientist/Analyst,"[u'Atlanta', u' GA']",Atlanta,[u' GA'],GA
243,FICO,"We are looking for data scientists to analyze and understand large amounts of historical data to determine suitability for modeling, data clean-up and filtering...","San Diego, CA",8 days ago,,Cyber Analytic Scientist,"[u'San Diego', u' CA']",San Diego,[u' CA'],CA
244,PNC Bank,"Additional responsibility include QA work, data analysis, data cleaning, and data querying. Data Gathering and Reporting - Working Experience....","Pittsburgh, PA",1 day ago,,Quantitative Analytics & Model Development Analyst,"[u'Pittsburgh', u' PA']",Pittsburgh,[u' PA'],PA
245,Carolinas HealthCare System,"Conducts follow up contacts to collect data for assigned studies. Collects and enters demographic, inpatient, and follow-up data and questionnaires....","Charlotte, NC",5 hours ago,,Research Analyst,"[u'Charlotte', u' NC']",Charlotte,[u' NC'],NC
246,Dallas County Community College District,Experience developing surveys and analyzing qualitative data. Demonstrated data analysis and research in Higher Education....,"Dallas, TX",7 days ago,"<nobr>$4,917 - $5,654 a month</nobr>",Senior Research Analyst,"[u'Dallas', u' TX']",Dallas,[u' TX'],TX
247,AT&T,"Working knowledge of machine learning, big data and real-time analytics. Big data analytics of end-to-end service and quality management- Create service KPIs...","Middletown, NJ 07748",30+ days ago,,Sr Member of Technical Staff Data Scientist,"[u'Middletown', u' NJ 07748']",Middletown,[u' NJ 07748'],NJ
248,Coursera,"Formal training in data science (e.g., Masters in Data Science, Data Science bootcamp graduate), Formal training in related quantitative field (e.g., Masters...","Mountain View, CA 94041",28 days ago,,Data Science Domain Expert,"[u'Mountain View', u' CA 94041']",Mountain View,[u' CA 94041'],CA
249,T-Mobile,The Principal Data Scientist is an expert in emerging “big data” technologies relevant to industry research and trends....,"Bellevue, WA",1 day ago,,Principal Data Scientist,"[u'Bellevue', u' WA']",Bellevue,[u' WA'],WA
250,"Amazon Web Services, Inc.","Computer Science fundamentals in object-oriented design, data structures, high-performance computing and GPGPU programming....","Palo Alto, CA",23 days ago,,Sr. Software Development Engineer – Emerging AWS Machine Lea...,"[u'Palo Alto', u' CA']",Palo Alto,[u' CA'],CA
251,Centers for Disease Control and Prevention,Use standard data collection statistical tools and methods to collect and analyze program specific related data using such....,"Fort Collins, CO",6 days ago,"<nobr>$76,341 - $99,243 a year</nobr>",Mathematical Statistician,"[u'Fort Collins', u' CO']",Fort Collins,[u' CO'],CO
252,"Predixion Software, Inc.",You are a data scientist or an experienced predictive analytics architect (at least 5 years) with excellent analytical and problem solving skills....,"Aliso Viejo, CA 92656",28 days ago,,Data Scientist,"[u'Aliso Viejo', u' CA 92656']",Aliso Viejo,[u' CA 92656'],CA
253,Workbridge Associates,"Data, Analytics, Scientist, Science, Python, R, SAS, SQL, Hadoop, Tableau, Analysis, Healthcare, Hospital, University, Career, Job, Chicago, IL,....","Chicago, IL",13 days ago,"<nobr>$105,000 a year</nobr>",Mid-Level Data Scientist,"[u'Chicago', u' IL']",Chicago,[u' IL'],IL
254,SanDisk,"Data Science Position. Working through the full flow of very challenging data problems anywhere from data cleaning, to building a concept of the model to...","Milpitas, CA",12 days ago,,Sr Data Scientist Job,"[u'Milpitas', u' CA']",Milpitas,[u' CA'],CA
255,JLL,"Track, maintain and disseminate detailed data for critical indicators including. Respond to all internal and external client requests for data and information...","Orlando, FL",12 hours ago,,Research Analyst,"[u'Orlando', u' FL']",Orlando,[u' FL'],FL
256,Remitly,"We are looking for an exceptional Data Scientist to leverage our data. As a data scientist, you will provide expertise on statistical and machine learning...","Seattle, WA",20 days ago,,Data Scientist,"[u'Seattle', u' WA']",Seattle,[u' WA'],WA
257,Tiger Analytics,"As a Data Scientist you will work with our clients to define a business problem into an analytical problem, determine solution requirements, design the analysis...","San Francisco Bay Area, CA",25 days ago,,Data Scientist,"[u'San Francisco Bay Area', u' CA']",San Francisco Bay Area,[u' CA'],CA
258,T3 Trading Group LLC,Statistical Pairs Trading and Convergence Position We are currently hiring proprietary traders for our selective Pairs Trading Group. The pair trade or pairs,"Jersey City, NJ",30+ days ago,,Statistical Pairs Trading Position,"[u'Jersey City', u' NJ']",Jersey City,[u' NJ'],NJ
259,IBM,Build real-time interactive point- and map-based weather data visualizations based on data APIs and/or other stored or streaming data sources for internal...,"Atlanta, GA",30+ days ago,,Data Visualization Software Engineer,"[u'Atlanta', u' GA']",Atlanta,[u' GA'],GA
260,Enigma,We value data scientists who can quickly implement elegant solutions to complex problems. As a Senior Data Scientist with the Analytics group your contributions...,"New York, NY",30+ days ago,,Senior Data Scientist,"[u'New York', u' NY']",New York,[u' NY'],NY
261,Grant Thornton,"Use sophisticated data and quantitative analysis techniques to assure data integrity, map data to appropriate industry sectors, geographies, account types and...","New York, NY",19 days ago,,Quantitative Analyst,"[u'New York', u' NY']",New York,[u' NY'],NY
262,Aptask,Knowledge of current trends in Big Data frameworks and Data pipeline architecture is preferred. This is an opening to fill a *Data Scientist*....,"New York, NY",13 days ago,,Data Scientist with Financial Exp_W2,"[u'New York', u' NY']",New York,[u' NY'],NY
263,Nityo Infotech Services Pvt. Ltd.,"Industry experience in Data analytics/BI, Data modeling and visualization, Optimization and statistics. Experience with data manipulation and analysis using Big...","Redmond, WA",17 hours ago,,Data Scientist,"[u'Redmond', u' WA']",Redmond,[u' WA'],WA
264,SecurityScorecard,"Looking for a versatile, and experienced data scientist to join the Marketing team at a fast growing, and well funded cybersecurity startup located in the heart...","New York, NY",19 days ago,,Data Science - Marketing,"[u'New York', u' NY']",New York,[u' NY'],NY
265,FabFitFun,"FabFitFun is looking for a detail-oriented, data-driven Data Scientist to help support our growing BI Team!...","West Hollywood, CA",20 days ago,,Junior Data Scientist,"[u'West Hollywood', u' CA']",West Hollywood,[u' CA'],CA
266,Montana State University,Analyzing and interpreting program data; Analyze GPAS data and develop a series of reports regarding student and program performance to support data- driven...,"Bozeman, MT",12 days ago,<nobr>$16.12 an hour</nobr>,Data/Research Analyst,"[u'Bozeman', u' MT']",Bozeman,[u' MT'],MT
267,Panton,Joining our world-class data science team and put big data into action leveraging neural network and deep learning algorithms....,"Houston, TX",8 days ago,,Junior Data Scientist,"[u'Houston', u' TX']",Houston,[u' TX'],TX
268,Bluecore,Data Science and Marketing. We’re looking for a highly motivated data scientist to join Bluecore at the intersection of two teams:....,"New York, NY 10002 (Lower East Side area)",30+ days ago,,Data Scientist,"[u'New York', u' NY 10002 (Lower East Side area)']",New York,[u' NY 10002 (Lower East Side area)'],NY
269,ShopKeep,"We have a mature data infrastructure, and we’d like someone to interrogate this data relentlessly. Data visualization / exploration tools (especially Looker)....","New York, NY 10013 (Tribeca area)",15 days ago,,Data Scientist,"[u'New York', u' NY 10013 (Tribeca area)']",New York,[u' NY 10013 (Tribeca area)'],NY
270,New York State Insurance Fund,"Run risk systems (such as POINT, Aladdin, Yield Book, Quantal Risk Estimates, FINCAD, Moody’s KMV) and compile exposure and risk related data;...","New York, NY",30+ days ago,,Quantitative Analyst,"[u'New York', u' NY']",New York,[u' NY'],NY
271,Macropace Technologies,"Data Scientist, preferably someone who has worked on product development. Excellent data analysis and presentation skills. Dallas TX or Irvine CA....","Dallas, TX",30+ days ago,,Data Scientist,"[u'Dallas', u' TX']",Dallas,[u' TX'],TX
272,"Dax Laboratories, LLC",Clinical Laboratory Scientist. Clinical toxicology laboratory seeking to add an experienced LC/MS Clinical Laboratory Scientist....,"Edmond, OK 73012",27 days ago,"<nobr>$60,000 a year</nobr>",Certifying Scientist / Technical Supervisor,"[u'Edmond', u' OK 73012']",Edmond,[u' OK 73012'],OK
273,Presbyterian Healthcare Services,"Leverage understanding of complex statistical, big data & technical concepts to advance portfolio of solutions....","Albuquerque, NM",15 days ago,,PRINCIPAL SCIENTIST,"[u'Albuquerque', u' NM']",Albuquerque,[u' NM'],NM
274,Center for Investigating Healthy Minds,"80% Data Collection, Data Management, and Data Processing:. Assist with data processing of self-report, behavioral, neuropsychological, psychophysiological, and...","Madison, WI",13 days ago,,Research Specialist-86782,"[u'Madison', u' WI']",Madison,[u' WI'],WI
275,Wade & Wendy,Programmatically adding data to and manipulating data from a graph-based database system. Gather and parse structured as well as unstructured data and organize...,"New York, NY",30+ days ago,"<nobr>$130,000 a year</nobr>",Sr. Machine Learning Data Scientist,"[u'New York', u' NY']",New York,[u' NY'],NY
276,Vencore,"Identify, retrieve, manipulate, relate and/or exploit multiple structured data and unstructured data sets from various sources, including building or generating...","Springfield, VA",8 days ago,,Senior - Data Scientist,"[u'Springfield', u' VA']",Springfield,[u' VA'],VA
277,"Miracle Software Systems, Inc.",The Visual Data Scientist & Data analyst positions discover and curate new and existing data sources to create solutions for the business....,"Dearborn, MI",19 days ago,,Data Scientists,"[u'Dearborn', u' MI']",Dearborn,[u' MI'],MI
278,University of New Mexico,"Experience accessing data in large data sets, extracting subsets of variables and individuals to define data files suitable for analysis....","Albuquerque, NM",30+ days ago,"<nobr>$3,434 a month</nobr>",Research Scientist 3,"[u'Albuquerque', u' NM']",Albuquerque,[u' NM'],NM
279,E.&J. Gallo Winery,"Do you enjoy data? Be part of a team monitoring our data ecosystem that will help us evaluate new applications, provide recommendations regarding changes to...","Modesto, CA 95354",21 days ago,,Sr Statistician,"[u'Modesto', u' CA 95354']",Modesto,[u' CA 95354'],CA
280,Ivory Systems,"Develop or lead in the review of a Data Management Plan (DMP), when applicable, that outlines database design and testing, CRF flow, data queries, manual checks...","Berkeley Heights, NJ",7 days ago,,Data Manager,"[u'Berkeley Heights', u' NJ']",Berkeley Heights,[u' NJ'],NJ
281,DNAnexus,Experience working collaboratively with bioinformatics scientists. We help train scientists to build their own tools on DNAnexus....,"Mountain View, CA",5 days ago,,Genomics Scientist,"[u'Mountain View', u' CA']",Mountain View,[u' CA'],CA
282,Reed Elsevier,"Assemble, merge, and parse large amounts of data to detect meaningful trends and patterns. The incumbent will have a firm understanding of machine learning,...","Minneapolis, MN",28 days ago,,Associate Statistical Modeler,"[u'Minneapolis', u' MN']",Minneapolis,[u' MN'],MN
283,DNV GL Group,"Review for quality, analyze and document the content and structure of data from a variety sources, including but not limited to energy efficiency program data,...","Nashville, TN",7 days ago,,Quantitative Research Analyst,"[u'Nashville', u' TN']",Nashville,[u' TN'],TN
284,Morgan Stanley,"Morgan Stanley Investment Management, together with its investment advisory affiliates, has more than 590 investment professionals around the world and $405","New York, NY 10032 (Washington Heights area)",15 days ago,,FX and Global Fixed Income Research Analyst - Global Multi-A...,"[u'New York', u' NY 10032 (Washington Heights area)']",New York,[u' NY 10032 (Washington Heights area)'],NY
285,Lygos,Purification groups to interpret integrated process data and find creative solutions to problems. The successful applicant will bridge metabolic engineering and...,"Berkeley, CA",1 day ago,,METABOLIC ENGINEERING/FERMENTATION: SCIENTIST I,"[u'Berkeley', u' CA']",Berkeley,[u' CA'],CA
286,Workbridge Associates,"Familiarity with data visualization, web analytics and modeling. 5+ years experience in machine learning and big data technologies (Hadoop or Spark preferred)....","San Francisco, CA",7 days ago,"<nobr>$120,000 - $165,000 a year</nobr>",Senior Level Data Scientist,"[u'San Francisco', u' CA']",San Francisco,[u' CA'],CA
287,Microsoft,An understanding that getting value from imperfect data and systems is a core virtue for a data scientist. Our team is deeply focused on harnessing the business...,"Redmond, WA 98052",7 days ago,,Principal Data and Applied Scientist,"[u'Redmond', u' WA 98052']",Redmond,[u' WA 98052'],WA
288,"Beckman Coulter, Inc.",Technical Marketing Scientist. Work with internal development scientists and key customers in development of data that underscores product value proposition and...,"Miami, FL",16 days ago,,Technical Marketing Scientist,"[u'Miami', u' FL']",Miami,[u' FL'],FL
289,KBI Biopharma,"Perform timely review of cGMP data from HPLC, ELISA, CE, etc. with a high focus on data quality and integrity to ensure accuracy, completeness, and compliance....",North Carolina,29 days ago,,Bioanalytical Data Reviewer/Sr. Research Associate/Scientist...,[u'North Carolina'],North Carolina,[],
290,Context Relevant,"Founded in 2012, we are a team of engineers, data scientists, and technologists joining machine learning, data science tools, statistical methods and advanced...","Seattle, WA 98101 (Downtown area)",3 hours ago,,Field Data Scientist,"[u'Seattle', u' WA 98101 (Downtown area)']",Seattle,[u' WA 98101 (Downtown area)'],WA
291,Walmart,"Certificate in business analytics, data mining, or statistical analysis. We are looking for talented and driven people interested in working together to build a...","Bentonville, AR 72712",5 days ago,,Quantitative Risk Analyst,"[u'Bentonville', u' AR 72712']",Bentonville,[u' AR 72712'],AR
292,Exponent,"Our multidisciplinary team of scientists, engineers, physicians, and regulatory consultants brings together more than 90 different disciplines to solve...","Phoenix, AZ 85027",13 days ago,,Associate,"[u'Phoenix', u' AZ 85027']",Phoenix,[u' AZ 85027'],AZ
293,ZestFinance,"Knowledge of data structures and parallelization. Experience with large scale data storage and analysis (e.g., Spark, MapReduce) is a plus....","San Francisco, CA",12 days ago,,Sr. Machine Learning Modeler / Data Scientist,"[u'San Francisco', u' CA']",San Francisco,[u' CA'],CA
294,SAIC,"Data Scientist Sr Principal (Job Number:. Experience with end-to-end data lifecycle to synthesize actionable information through data collection, preparation,...","Aber Prov Grd, MD",15 days ago,,Data Scientist Sr Principal Job,"[u'Aber Prov Grd', u' MD']",Aber Prov Grd,[u' MD'],MD
295,State Street,"About State Street Across the globe, institutional investors rely on us to help them manage risk, respond to challenges, and drive performance and","Quincy, MA 02169",17 hours ago,,"Custody Research Analyst, Senior Associate","[u'Quincy', u' MA 02169']",Quincy,[u' MA 02169'],MA
296,Nationwide Children's Hospital,"The Data Scientist position will be part of a team of highly capable Data Scientists and Analysts, most having MS or PhD degrees in academic disciplines related...","Columbus, OH",24 days ago,,Data Scientist I- RI Solutions and Innovations,"[u'Columbus', u' OH']",Columbus,[u' OH'],OH
297,"The Ohio State University, Division of Hematology",Researches new data sources and analytical tools; Develops methodologies and files for effective data management;...,"Columbus, OH",1 day ago,,Research Data Analyst,"[u'Columbus', u' OH']",Columbus,[u' OH'],OH
298,POLICE DEPARTMENT,"This position will also be responsible for conducting confidential analytical work in the review, extraction, examination, and compilation of highly sensitive...","New York, NY",30+ days ago,"<nobr>$41,057 - $61,669 a year</nobr>","STATISTICIAN, LEVEL I","[u'New York', u' NY']",New York,[u' NY'],NY
299,Radford University,"Provide data support to university decision-makers. Demonstrated experience in data collection, analysis, and presentation skills, both verbally and written,...","Radford, VA 24141",6 days ago,,Research Analyst,"[u'Radford', u' VA 24141']",Radford,[u' VA 24141'],VA
300,Danaher Labs,Danaher Labs is seeking for a Data Scientist who is passionate about data and focused on analyzing and presenting next generation machine data....,"Santa Clara, CA",30+ days ago,,Data Scientist,"[u'Santa Clara', u' CA']",Santa Clara,[u' CA'],CA
301,Helix,"Strong data analysis skills, ability to interpret and draw conclusions from large amounts of data. We are searching for highly motivated, independent and team...","San Diego, CA",8 days ago,,"Scientist, Automations","[u'San Diego', u' CA']",San Diego,[u' CA'],CA
302,Swift Capital,"As a Data Scientist – Credit Risk Strategies at Swift Capital, you will:. And NOW we're looking for a superstar Data Scientist – Credit Risk Strategies who will...","Wilmington, DE",8 days ago,,Data Scientist – Credit Risk Strategies,"[u'Wilmington', u' DE']",Wilmington,[u' DE'],DE
303,Merck,"Scientist, Quantitative Sciences-PHA001318. Primary responsibilities of Scientists (R2) in QP2 include critical data management, analytic support for...","Rahway, NJ",6 days ago,,"Scientist, Quantitative Sciences Job","[u'Rahway', u' NJ']",Rahway,[u' NJ'],NJ
304,Vistronix,"Findability and reuse of data. The Data Curator will maintain, preserve, and add value to customer data and digital objects throughout its lifecycle....","Raleigh, NC",13 days ago,,Data Curator,"[u'Raleigh', u' NC']",Raleigh,[u' NC'],NC
305,Spring,This role will report to our Lead Data Scientist and will help increase the overall bandwidth of the team....,"New York, NY 10016 (Gramercy area)",8 days ago,,Data Scientist,"[u'New York', u' NY 10016 (Gramercy area)']",New York,[u' NY 10016 (Gramercy area)'],NY
306,Verisk Analytics,"5+ years of quantitative modeling experience leveraging medical, clinical, and/or pharmacy data. You may directly manage a team of analytical scientists in the...","Jersey City, NJ",8 hours ago,,VP of Analytics,"[u'Jersey City', u' NJ']",Jersey City,[u' NJ'],NJ
307,Mines.io,We are looking for a data scientist/developer to fill a cross-functional role on our small team. We expect you to be able to work and experiment with large data...,"San Francisco, CA",30+ days ago,"<nobr>$80,000 - $120,000 a year</nobr>",Full-Stack Data Scientist,"[u'San Francisco', u' CA']",San Francisco,[u' CA'],CA
308,Hirewell,"Data manipulation with SQL systems. Manipulate and analyze complex, high-volume, high-dimensionality data from varying sources using a variety of tools and data...","Deerfield, IL",7 days ago,"<nobr>$125,000 a year</nobr>",Data Scientist,"[u'Deerfield', u' IL']",Deerfield,[u' IL'],IL
309,Lygos,"Bioinformatics, and fermentation groups to interpret data and find creative solutions to problems. The successful applicant will serve as a strain engineer,...","Berkeley, CA",1 day ago,,METABOLIC ENGINEERING: SCIENTIST I,"[u'Berkeley', u' CA']",Berkeley,[u' CA'],CA
310,Diverse Lynx LLC,"Job Title - Data Scientist with Spark. Executes on Big Data requests to improve the accuracy, quality, completeness, speed of data, and decisions made from Big...","New York, NY",22 days ago,,Data Scientist with Spark -Full Time Job,"[u'New York', u' NY']",New York,[u' NY'],NY
311,Veear Projects,"Required Skills:  * MS or PhD in Statistics, Mathematics, Engineering, Econometrics or Psychology * 4+ years experience utilizing *quantitative research and","Pasadena, CA",30+ days ago,,Senior Data Scientist-Business Analyst and Experimentation,"[u'Pasadena', u' CA']",Pasadena,[u' CA'],CA
312,Braxton Science & Technology Group,"Manage data collected during GPS testing, data processing tools utilized, and data products created that will be utilized during subsequent data analysis....","San Diego, CA",26 days ago,,Data Analysts,"[u'San Diego', u' CA']",San Diego,[u' CA'],CA
313,Eyeview,"Aptitude in displaying and communicating data analysis. Eyeview is looking for a Data Scientist, Campaign Insights to work with the sales and analytics teams to...","Chicago, IL",30 days ago,,"Data Scientist, Campaign Insights","[u'Chicago', u' IL']",Chicago,[u' IL'],IL
314,Southwest Research Institute,Must have experience with infrared data analysis. Setting up infrared optical system with infrared detector in a vacuum chamber and testing performance of...,"San Antonio, TX 78238",12 days ago,,GRADUATE STUDENT - INFRARED DATA ANALYSIS,"[u'San Antonio', u' TX 78238']",San Antonio,[u' TX 78238'],TX
