,company,description,post_date,title,city,state,range_low,range_high,salary_avg
227,Centra Technology,"Familiarity with techniques to extract, transforms, and load various data sets for both high volume and complex “big data” data sets is desired. U.S....",25,"Quantitative Analyst (Junior, Mid-level, Senior-level)",Washington,DC,,,
228,Voya Financial,Proactively uncover and resolve data and calculation issues. Maintain and expand the internal data warehouse from which the analytics are generated....,15,Quantitative Analyst,New York,NY,,,
229,Glassdoor,"The ideal candidate is a hands-on platform builder with significant experience in building scalable data platforms in the cloud to enable business intelligence,...",30,Senior Software Engineer - Data Platform,Mill Valley,CA,,,
230,Ohio State University Medical Center,Researches new data sources and analytical tools; Develops methodologies and files for effective data management;...,25,Research Data Analyst,Ohio,,45000.0,55000.0,50000.0
231,RBC,". What is the opportunity? A role as a Quantitative Analyst in the Fixed Income and Currencies Team with a focus on researching, developing and implementing",6,Quantitative Analyst,New York,NY,,,
232,Citi,"Understand Citis credit risk management systems, data flow, data definition and data requirement for various trading products....",9,Quantitative Risk Analyst,Tampa,FL,,,
233,AT&T,"Spark, Map Reduce/Tez) or other big data technologies, and experience manipulating big and noisy data sets (e.q....",11,Principal Data Scientist Big Data (Plano TX),Plano,TX,,,
234,Added Value,"Do data checks such as checking questionnaire programs for logic, accuracy and completeness, edit/proof data tables, review/approve codes....",30,"Project Analyst, Quantitative Insights",New York,NY,,,
235,SecurityScorecard,"Looking for a versatile, and experienced data scientist to join the Marketing team at a fast growing, and well funded cybersecurity startup located in the heart...",22,Data Science - Marketing,New York,NY,,,
236,KPMG,"Work with data scientist to identify data needs, sources, and structure to support client issues problem solving....",23,Big Data Analytics Business Consultant,New York,NY,,,
237,Eurofins,"Senior Scientist responsibilities include, but are not limited to, the following :. Understand and perform calculations as required by test methods (some...",5,Senior Scientist,Lancaster,PA,,,
238,"The Vertex Companies, LLC.","Compile clear and correct data tables from laboratory analytical reports, field notes, and/or electronic data deliverables;...",14,Environmental Data Analyst,Boston,MA,,,
239,Medtronic,"These research projects are typically related to the characterization of electrical, thermal, and mechanical properties, and will include collecting, organizing...",8,Principal Scientist,Portsmouth,NH,,,
240,MD ANDERSON CANCER CENTER,"The ideal candidate will have mastered- Structured Query Language, Database Structures, Data Integration, Data Visualization and Reports Design, Business...",4,Computational Scientist - Department of Immunology,Houston,TX,,,
241,Beepi,The ideal candidate will own complex data modeling projects from inception to execution and have a passion for using data to dynamically improve the customer’s...,7,Machine Learning Scientist,Los Altos,CA,,,
242,Facebook,"Writing data pipelines and crafting interactive information visualizations (e.g., d3). Familiarity with any of the skills listed for scientists is a plus....",30,"Engineer, Core Data Science",Menlo Park,CA,,,
243,Washington University in St. Louis,Expert knowledge base and experience with SAS and high degree of proficiency in data analysis and data management....,22,Senior Statistical Data Analyst - Biostatistics,St. Louis,MO,53206.0,69160.0,61183.0
244,FM Global,"Proficiency in SQL and experience with statistical software packages Analytical skills including critical thinking, data mining, data modeling data warehouse...",12,Statistical Analyst,Johnston,RI,,,
245,GEICO,"Evaluate new sources of data for use in modeling insurance risk. , you will apply data-mining, statistical and advanced modeling techniques to a myriad of types...",30,"Modeling Analyst - Data Mining, Statistical Analysis and Dec...",Chevy Chase,MD,,,
246,Chatham Financial,"As such, we participate in procuring market data, manage relationships with data providers, determine the correct data to pull into our system, set up the data...",2,Quantitative Analyst,Kennett Square,PA,,,
247,Merck,He/She will collaborate across disciplines to analyze diverse data sets to build structure-activity relationships....,5,Senior Scientist Job,Kenilworth,NJ,,,
248,Children's Mercy Hospitals & Clinics,"Familiarity with programming language such as Python and data visualization tools. Responsible for modeling complex health, research, and business related...",17,Data Scientist I,Kansas City,MO,,,
249,Tigo,"The Advanced Analytics Manager (Senior Data Scientist)\ main responsibilities are:. Design, develop and implement data management systems of analytic frameworks...",30,Senior Data Scientist,Miami,FL,,,
250,"Zachary Piper, LLC",Responsibilities for the Associate Scientist include:. Record and report data in compliance with GMP standards....,9,Associate Scientist,Durham,NC,43000.0,49000.0,46000.0
251,San Diego Pharmaceutical (Injecatables),Demonstrated proven ability work independently and mentor junior scientists. Reports and treats data with a high level of integrity and ethics....,3,Analytical Scientist (Method Dev) SAN DIEGO,North Brunswick,NJ,,,
252,"Georgia Medical Care Foundation, Inc.","Directly responsible for statistical integrity, adequacy & accuracy of data used. The Health Data Statistician is responsible for conducting advanced...",1,Health Data Statistician,Atlanta,GA,,,
253,UT Health Science Center at Houston,The School of Biomedical Informatics is seeking a Senior Research Scientist to perform the following duties:. Formulate a project or identify a problem by using...,1,Research Scientist Sr. - Bioinformatics,Houston,TX,,,
254,MONSANTO,"Responsibilities Develop and maintain data management systems including Labware LIMS and modern data and web frameworks like PostgreSQL, Django....",28,Data & Visual Analytics Engineer,St. Louis,MO,,,
255,Ball Aerospace,"Experience in analyzing and modeling data flow within and between enterprise-level information. Our team of more than 3,000 engineers, scientists, technicians...",15,Operations Research Analyst (659029),Albuquerque,NM,,,
256,"NextDeavor, Inc.",Data analysis and statistics. Ad hoc data analysis as well as production quality data analysis code. We are looking to build our Data Science team....,25,Sr. Data Scientist,Mountain View,CA,150000.0,,150000.0
257,City Of Hope,"The Manager, Data Safety & Monitoring Office provides administrative and operational oversight for the City of Hope’s Data and Safety Monitoring Committee (DSMC...",1,"Manager, Data Safety & Monitoring Office",Duarte,CA,,,
258,Southwest Research Institute,Must have experience with infrared data analysis. Setting up infrared optical system with infrared detector in a vacuum chamber and testing performance of...,15,GRADUATE STUDENT - INFRARED DATA ANALYSIS,San Antonio,TX,,,
259,Jana,"Working closely with product managers, engineers, and data scientists to:. Experience with Python/R scripting and data manipulation....",19,Data Analyst,Boston,MA,,,
260,Boxed,Grow as an data scientist. There is a tremendous amount of things happening across our platforms and we are looking for a seasoned Data Scientist to leverage...,10,Senior Data Scientist,San Mateo,CA,,,
261,Sentient,We are seeking an exceptional Data Scientist to join our Visual Intelligence platform team and lead our data science projects....,2,Senior Data Scientist - Visual Intelligence,San Francisco,CA,,,
262,University of Wisconsin Madison,The scientist will work with other department faculty and scientists to research health communications related to women's health topics....,30,Scientist,Madison,WI,,,
263,Charles River Analytics,"A record of managing geographically dispersed teams of scientists, engineers, and subcontractors. Charles River Analytics is looking for a Senior Scientist to...",10,Sr. Scientist,Cambridge,MA,,,
264,IBM,IBM Research is seeking a highly motivated and talented research scientist as Blockchain innovations leader....,5,Research Scientist,Yorktown Heights,NY,,,
265,Ohio State University Medical Center,"Compiles, analyzes, and evaluates data to establish the relevance to the problems being evaluated; Research Scientist to conduct independent research in the...",6,Research Scientist,Ohio,,50000.0,54000.0,52000.0
266,Sprint,Two years data analysis experience. Performs analysis of business processes and data that pertain to business issues....,15,Marketing Measurement Analyst / Statistician,Overland Park,KS,,,
267,Loot Crate,The Senior Data Scientist will work with the data architect and company SMEs to take disparate data sets and create actionable data solutions....,4,Senior Data Scientist,Los Angeles,CA,,,
268,Educational Testing Service,"Research Scientist Positions. Expertise in Bayesian statistics, machine learning, data mining, deep learning, multiple sensory data fusion....",11,Research Scientist,Princeton,NJ,,,
269,Twitter,"Familiarity with statistical packages (SPSS, R, etc) and data query languages (SQL, etc). Agency Research Analyst....",6,Agency Research Analyst,New York,NY,,,
270,Weight Watchers International,Work closely with our data scientists to help build complex algorithms that provide unique insights into our data....,30,Data Engineer,New York,NY,,,
271,Seattle Children's Hospital,"We're looking for talented data analysts, data scientists, engineers, project managers, to join us on this journey....",30,Data Analyst Sr,Seattle,WA,,,
272,IBM,"Collaborate with data scientist and researchers in prototyping efforts. It is composed of analytics professionals in healthcare data management, Big Data...",10,IBM Watson Health Analytics Big Data Developer Apprentice,Cambridge,MA,,,
273,Intersection,"This person will hire, manage, train and retain a team of data scientists. The data analytics manager will be responsible for aggregating, reporting and...",22,Data Analytics Manager,New York,NY,,,
274,"Liebowitz Law Firm, PLLC","Young, Long Island law firm seeks self-motivated individuals who thrive in a fast-paced environment. Responsibilities:  - Perform investigative research",12,Research Analyst - Entry Level,Valley Stream,NY,,,
275,Ambry Genetics,The Client Data Analysis Associate’s goal is to understand fully the methods involved in assisting with client requests;...,30,Client Data Analysis Associate,Aliso Viejo,CA,,,
276,ABBOTT LABORATORIES,"Integrates data and identifies critical process variables. Analyzes data from multiple experiments, formulates conclusions and determines future experiments....",10,"Principal Research Scientist, Assay Development",Township of Libertyville,IL,,,
277,Lockheed Martin,"The Research Scientist also:. Administers, operates, and maintains the computer-based acquisition data systems....",7,Research Scientist (Antarctica),Centennial,CO,,,
278,PeopleScout,Design and work with complex data models in the HPCC Big Data Platform.(or another big data platform. Strong understanding of normalized/dimensional data...,12,Sr Software Engineer - Big Data/Machine Learning,Raleigh-Durham,NC,125000.0,,125000.0
279,"Rho, Inc.","Assist with data management activities under the direct supervision of a clinical data manager. A Statistical Research Associate supports the Rho Biostatistics,...",30,Statistical Research Associate,Chapel Hill,NC,,,
280,Wuxi AppTec,"Experience evaluating and assembling sequencing data. Conducts critical review of results and reports data to Study Director, Area Manager or Principal...",18,Senior Scientist - Molecular,Philadelphia,PA,,,
281,JPMorgan Chase,"Data Scientist - Manager of Experimentation. Proprietary data platforms. They are hands-on, without needing an army of engineers or other data scientists to...",21,Data Scientist - Manager of Experimentation,New York,NY,,,
282,MD ANDERSON CANCER CENTER,Identify and develop data visualization methods for high fidelity data presentation 5. Work with the Systems Data Analyst on ETL initiatives 7....,4,Senior Computational Scientist- Immunology,Houston,TX,,,
283,Cbsi Global,"Identify new and novel data sources. Global Data, Insight and Analytics (GDIA) organization is. Scientist to assist in all levels of model development,....",2,DATA SCIENTISTS MODELING,Dearborn,MI,,,
284,"Stemline Therapeutics, Inc.","Develop, organize, and maintain system of data storage for company. Provide scientific and data mining support for nonclinical research or laboratory-based...",9,"Research Associate, R&D",New York,NY,,,
285,Lux Research,"Analyst - Data Analytics and Artificial Intelligence (Boston, New York, Amsterdam, or Singapore). Relevant expertise in machine learning, statistics, data...",15,Research Analyst - Data Analytics and Artificial Intelligenc...,New York,NY,,,
286,Komodo Health,Work with the data scientists to implement forecasting and prediction algorithms and models in the data infrastructure....,1,Sr Data Engineer,New York,NY,,,
287,Infinity Consulting Solutions,"Join the team as a Data Scientist*. Data mining, data analysis, and reporting. Development and use of databases, data models, data marts or warehouses....",3,Programming Data Scientist,Eden Prairie,MN,125000.0,145000.0,135000.0
288,Grant Thornton,"Use sophisticated data and quantitative analysis techniques to assure data integrity, map data to appropriate industry sectors, geographies, account types and...",22,Quantitative Analyst,New York,NY,,,
289,Wiley,"Wiley is a provider of content-enabled solutions that improve outcomes in research, education, and professional practice. Our core businesses produce",3,Business Analyst (Research),Hoboken,NJ,,,
290,Fitbit,Fitbit's anonymized health metrics give Senior Data Scientists one of the most exciting health data sets in existence....,7,Senior Data Scientist - Product,San Francisco,CA,,,
291,U.S. Bank,Perform robust data mining and data analysis across a variety of lending products. Ability and experience in analyzing HMDA data for internal and external...,16,Statistical Analyst,Charlotte,NC,,,
292,The Integer Group,"Discipline support, New Business Pitch Preparation, Data Governance, etc. Developing complex queries to support data extracts for marketing campaigns....",12,Statistician,Des Moines,IA,,,
293,AAIPHARMA,"Performs scientific development variation activities in collaboration with others in chemistry, makes detailed observations and analyzes data....",24,Analytical Senior Scientist,Charleston,SC,,,
294,Republic Bank,"Extensive knowledge in building data sets, data models and decision engines required . Experience with enterprise data warehouses....",30,Sr Statistical Analyst,Louisville,KY,,,
295,Mount Sinai Health System,"Data collection and processing. Coding research data for clinical oncology trials, including. For performing data collection, enrolling patients on clinical...",2,Research Analyst,Jamaica,NY,,,
296,Enigma,We value data scientists who can quickly implement elegant solutions to complex problems. As a Senior Data Scientist with the Analytics group your contributions...,30,Senior Data Scientist,New York,NY,,,
297,Microsoft,An understanding that getting value from imperfect data and systems is a core virtue for a data scientist. Our team is deeply focused on harnessing the business...,10,Principal Data and Applied Scientist,Redmond,WA,,,
298,"Ruckus Wireless, Inc","Develop new dashboards and data collection methods. Strong foundation in data structures, computational algorithms and software implementation....",11,Principal Data Scientist,Sunnyvale,CA,,,
299,ABBOTT LABORATORIES,"The Principal Scientist:. Presents complex technical data to large and diverse groups. Coaches lower-level scientists (e.g., presentation skills, negotiation...",10,Principal Scientist,Des Plaines,IL,,,
300,The PFM Group,"The PFM Group of companies are national leaders in providing independent financial advice as well as investment advisory, management and consulting services",1,Quantitative Strategies Analyst - Drexel Co-op,Philadelphia,PA,,,
301,ALCOA,"Cleaning and analyzing data, applying multivariate techniques, exploring data using analytical and graphical tools for relationships, developing non-linear...",6,"Senior Data Scientist, Decision Analytics^",Pittsburgh,PA,,,
302,Robert Bosch LLC,"Data Analytics using R. Proficient knowledge of computer architectures, network technologies, Databases and Data Analytics / Data Warehouse (e.g....",30,Big Data Scientist/Analyst with Bosch in Mt. Prospect,Mount Prospect,IL,,,
303,Triad Retail Media,"Candidates should be prepared to use behavioral data, historical purchase data, and campaign performance data to design, develop, and deliver Data Science tools...",4,Data Science & Development Lead,Saint Petersburg,FL,,,
304,AiCure,"Continuously stay up to date on advances in the research community (e.g., by experimenting with different Deep Learning models, data sets, algorithms, etc)....",7,Computer Vision Research Scientist,New York State,,,,
305,Dot & Bo,"Ensure data accuracy by validating data, identifying missing data and applying fixes via scripting and manual cleanup....",1,Data QA Analyst,San Francisco,CA,,,
306,Etech Hi Inc.,"Experience with medical or clinical data is a plus. Oversee all program analytics including risk adjusted benchmark reports, external data validation,...",25,Sr. Statistician,Chicago,IL,85000.0,,85000.0
307,NBCUniversal,"Strong analytical skills, able to analyze qualitative and quantitative data with client needs in mind. Analyze and interpret ratings data across the NBC Owned...",10,Research Analyst,New York,NY,,,
308,AbeXXa Biologics Inc.,"Programming experience, with experience in data mining (e.g. The purpose of this position is to lead in the development and application of bioinformatics to...",4,Scientist/Senior Scientist - Bioinformatics,Arlington,TX,,,
309,University of California San Francisco,"Experience working with REDCap for electronic data capture, building data queries and reports. Running queries on entered data to ensure data entry completeness...",3,Assistant Statistician,San Francisco,CA,,,
310,Cogo Labs,"As a Cogo Labs Quantitative Data Analyst , you'll run and grow new business lines within our incubator. We're not venture capitalists--we're a collaborative...",14,Quantitative Data Analyst,Cambridge,MA,,,
311,Luna Innovations Incorporated,Experience in systems engineering of prototype data acquisition devices. Develop and adapt firmware and software to interface and control system components...,1,Research Scientist,Blacksburg,VA,,,
312,Xilinx,"Robust expertise as either software engineer, data scientist, or product engineer in semiconductor test and manufacturing....",30,Senior Data Systems Engineer,San Jose,CA,,,
313,"Ramsey County, MN","Identify valuations that require data review or revision; Develop and analyzes data and satisfaction survey, including constructing questionnaires, collecting...",12,Research & Statistical Analyst- CAMA,Saint Paul,MN,61761.0,91952.0,76856.5
314,"INNOVIM, LLC","INNOVIM, LLC is seeking a Scientist experienced in high performance computing to support development and operational implementation of a global ocean data...",27,Ocean Data Assimilation,College Park,MD,,,
315,Investopedia,"Powered by a team of data scientists and financial experts, Investopedia offers timely, trusted and actionable financial information for early investors to high...",8,"Director, Audience Engagement and Analytics – Content & Edit...",New York,NY,,,
316,Sg2,"Sg2, a Vizient company, provides analytics-based health care expertise to help hospitals and health systems integrate, prioritize and drive growth and",10,Research Associate (Patient Flow Analyst),Skokie,IL,,,
317,National General Insurance,"Strong analytical skills, especially in predictive modeling and data mining techniques. National General Insurance is looking for insurance professionals to...",30,Predictive Modeling Analyst,Winston-Salem,NC,,,
318,"University of California, Davis","Work with research personnel to identify and correct data values that are missing, out-of-range, or that may otherwise potentially threaten validity or...",2,RESEARCH STATISTICIAN/PROGRAMMER,Sacramento,CA,,,
319,Marin Software,Join Marin Software as a Data Scientist to apply your real world experience of data analysis and machine learning techniques on vast data sets....,1,"Senior Software Engineer, Data Science",San Francisco,CA,,,
320,DuPont,Develop and implement data. Statistical data analysis of complex and large datasets; Experience or familiarity with analyses of “omics” data an asset....,1,Research Statistician,St. Louis,MO,,,
321,MONSANTO,Be a critical senior member of a full-stack data engineering team focused on creating distributed analysis capabilities around our scientific datasets • Think...,2,Big Data Engineer,St. Louis,MO,,,
322,North Park University,"Serve as EM&M Data Steward, providing direction on data collection, maintenance and assurance, creating data dictionary of all student related data points for...",10,Enrollment Research & Data Analyst,Chicago,IL,,,
323,University of Virginia,The candidate will generate pre-clinical data in xenografts for CARs that have already been developed and will work with Dr....,5,Research Scientist,Charlottesville,VA,,,
324,All-In Analytics,"Consumer survey data, consumer behavior data, transactional sales data, id digital patterns, brand marketing activities, email campaigns, SEO campaigns,...",12,Digital Statistician,Modesto,CA,80000.0,100000.0,90000.0
325,Spectrum,Able to collect and analyze data to evaluate and make recommendations to solve problems. Able to employ mathematical techniques including probability and...,1,Operations Research Analyst / Systems Evaluator,Colorado Springs,CO,,,
326,U.S. Federal Government,Develop and implement techniques required to analyze unusual data from diverse sources because standard data bases and techniques that are often not available...,1,Social Science Research Analyst,Washington,DC,92145.0,119794.0,105969.5
327,San Diego Pharmaceutical,"Team lead position, proven ability work independently and mentor junior scientists. Reports and treats data with a high level of integrity and ethics....",4,Analytical Scientist (San Diego),Memphis,TN,,,
328,Mount Sinai Health System,"Build data systems to help team's data scientists carry out their work. Identifies, develops, and documents data standardization, data enrichment operations,...",6,SENIOR DATA ANALYST,New York,NY,,,
329,DCS Corporation,Perform human subject’s data collection. Develop protocol manuals and data collection instruments; This position will support and oversee research data...,2,Research Analyst,Los Angeles,CA,,,
330,ZestFinance,"5+ years managing a team of data scientists. Lead a team of 10+ data scientists in developing high-quality, robust predictive algorithms....",8,"Vice President, Data Science",Los Angeles,CA,,,
331,Slait Consulting,Research innovations and best practices related to data science techniques and processing large data sets. Analyze and/or supervise analysis performed by others...,12,Data Engineer/Scientist,Richmond,VA,103000.0,,103000.0
332,Amgen,Serving as an internal consultant on commercial data and data quality management. Researching opportunities for data acquisition and new uses for existing data....,11,"Manager, Data Sciences & Analytics – Biotech",Thousand Oaks,CA,,,
333,Third Bridge,First job out of college not what you thought it would be? Boring? No real responsibility? Just a cog in a wheel? If you are ready to leave dull and join,3,Research Analyst - Immediate Openings,New York,NY,,,
334,Novavax,"Ability to critically analyze data using statistical tools and to compile technical reports. The ideal candidate will make detailed observations, analyze data,...",22,"Senior Scientist, Analytical Development (JL)",Gaithersburg,MD,,,
335,Eli Lilly,"Oversee Design/Develop study data output, and reports. Elanco Animal Health Research and Development is pursuing the development of pharmaceutical drugs and...",2,Research Scientist,Greenfield,IN,,,
336,Krew Enterprises,Ability to explore and analyze data aggregated from multiple data sources. High growth company focused on using data science to transform the way individuals...,12,Mid - Senior Level Data Scientist,Baltimore,MD,,,
337,Michigan Technological University,"Position Information Position Title Engineer/Scientist Department Materials Science & Engineering Location Main Campus (Houghton, MI) Position Type Staff...",22,Engineer/Scientist,Houghton,MI,60000.0,,60000.0
338,Novartis Pharmaceuticals,Reports and acts on data results. Responsible to draw conclusions from real-time data and statistical reports.(if available)....,9,US CPO QC Senior Scientist,East Hanover,NJ,,,
339,Columbus Technologies and Services,Biostatistical data analysis. RNA-seq) gene expression data. Graphical representation of complex data. Analysis of array-based and next-generation sequencing...,19,Bioinformatics Scientist,Bethesda,MD,,,
340,B&W Pantex,"Responsible for providing engineering support to a team of managers, scientists, and system operators to ensure efficient, regulatory-compliant operation of...",30,Engineering Specialist V,Amarillo,TX,,,
341,EBay,Do you thrive on developing data mining techniques to pull insight out of large data sets. Proficient with data stores like SQL and Hadoop....,11,Senior Applied Researcher/Data Scientist,San Jose,CA,,,
342,Adobe,"Data Scientist Intern. Performing analysis on big data from social media and web activity logs. Human-Computer Interaction, Data Mining, Information Retrieval,...",30,Data Scientist Intern,San Jose,CA,,,
343,"Resurgent Capital Services, LP","Conducts exploratory/ad hoc data analysis on internal data, as well as external data sources. Writes SQL queries to extract data from SQL Server data warehouse...",22,Statistical Analyst I,Greenville,SC,,,
344,Hughes and Associates,Senior PK Scientist. Experience working with PK/PD modeling and data analysis. Oversee/contribute to the design and analysis of PK data....,3,Senior PK Scientist,Washington,DC,,,
345,Anne Arundel Community College,"Experience working with large data sets required. Ability to gather, compile, and analyze research data in a variety of formats....",2,Research Analyst,Arnold,MD,,,
346,"Dax Laboratories, LLC",Clinical Laboratory Scientist. Clinical toxicology laboratory seeking to add an experienced LC/MS Clinical Laboratory Scientist....,30,Certifying Scientist / Technical Supervisor,Edmond,OK,60000.0,,60000.0
347,Legg Mason,"Please Enable Cookies to Continue Please enable cookies in your browser to experience all the personalized features of this site, including the ability to",2,Equity Research Analyst (Technology Sector),New York,NY,,,
348,"Johnston County, NC","Analyzes and interprets geographic data, Converts and extracts data from database file structures. Prepares charts, graphs, spreadsheets and maps showing market...",2,Tax Statistician,Smithfield,NC,42789.0,76266.0,59527.5
349,Gallup,"Gallup data scientists help clients effectively use data to make better decisions. Experience merging and analyzing large, diverse data sources — especially...",30,Data Scientist – Predictive Analytics,New York,NY,,,
350,University of Utah,"Experience in data analysis, geological data gathering or related research experience, or equivalency required....",2,Research Analyst,Salt Lake City,UT,,,
351,Legislative Branch,"Or in the social sciences including demography, history, economics, social welfare, geography, international relations, social or cultural anthropology, health...",23,Senior Statistician,Washington,DC,81878.0,121525.0,101701.5
352,California Institute of Technology,"Reduction of data collected, presentation of the results at conferences, co-writing of manuscripts for publication....",2,Research Scientist,Pasadena,CA,,,
353,American Type Culture Collection (ATCC),"Submits data for publication and/or patent protection when applicable. The scientist initiates, directs and executes scientific research and/or development...",15,Scientist,Gaithersburg,MD,,,
354,Columbia University,The Institute for Genomic Medicine at Columbia University Medical Center seeks a highly motivated and creative postdoctoral research scientist to study the...,4,Postdoctoral Research Scientist,New York,NY,,,
355,TD Bank,"The Quantitative Analyst provides the quantitative analysis and builds the advanced quantitative models to meet DFAST and CCAR requirement. In addition, the",3,Quantitative Analyst III,Wilmington,DE,,,
356,AIG,Machine Learning / Predictive Modeling / Statistics AIG is seeking world-class dynamic Data Scientists to join our Science team that drives transformational...,30,"Director, Data Scientist/Modeler",New York,NY,,,
357,HTA,"Our team architects advanced models of disease transmission, develops computational tools to inform global disease eradication policy, conducts innovative...",12,Research Scientist,Bellevue,WA,,,
358,Pinnacus,"You are the primary data domain expert and will be partnering with our technology teams, analytical consultants and data scientists across various initiatives....",3,Data Warehouse / BI Engineer,West Palm Beach,FL,90000.0,100000.0,95000.0
359,Jobspring Partners,"Data, database, data scientist, elearning, java, javascript, restful, spring, boot, hibernate, mlp, rbf, svm, data analytics, data analysis, Hadoop, mapreduce,...",17,Data Scientist,Philadelphia,PA,,,
360,"NextEra Energy Power Marketing, LLC",Comfortable working with large amount of data and complex models. NextEra Energy Resources....,1,Quantitative Analyst - Risk Analytics,Juno Beach,FL,,,
361,Icon plc,"Scientist role within ICON:. In addition, the Principal Scientist will operate, maintain, and troubleshoot the LC-MS/MS systems....",30,Principal Scientist,Whitesboro,NY,,,
362,"Zachary Piper, LLC","Piper Clinical Solutions is currently looking for a Senior Statistician to work in Cambridge, MA. The Senior Statistician will support a major clinical",9,Senior Statistician,Boston,MA,110000.0,145000.0,127500.0
363,SUNY Oswego,"Image reconstruction algorithms, data analysis and software development. The Research Foundation for SUNY on behalf of the Advanced Wireless Systems Research...",12,Post-Doctoral Research Scientist,Oswego,NY,50000.0,60000.0,55000.0
364,Specialty Chemicals,"Located in Englewood, CO we have an opening for a Research Scientist. Scientific literature and the techniques required for executing and publishing scientific...",23,Research Scientist,Denver,CO,,,
365,Leidos,"Assist DEA statisticians and scientists in tracking phases or steps in cocaine production and transportation cycle within South America, Central America, Mexico...",1,Quantitative Statistical Analyst,Washington,DC,,,
366,Radford University,"Provide data support to university decision-makers. Demonstrated experience in data collection, analysis, and presentation skills, both verbally and written,...",9,Research Analyst,Radford,VA,,,
367,Mitre Corporation,"The Data Scientist will apply extensive data engineering knowledge & skills to the development of data architectures, data models, evaluation of different model...",29,Lead Data Scientist,Aberdeen,MD,,,
368,Lovelace Respiratory Research Institute,"Headquartered in Albuquerque, New Mexico, MRN consists of an interdisciplinary association of scientists located at universities, national laboratories and...",17,Research Assistant II,Albuquerque,NM,,,
369,"Immucor, Inc",Compiling data for further analysis. Entry Level Research & Development Scientist (Laboratory). Immucor is seeking a Development Scientist I for an entry level...,3,Development Scientist I,Norcross,GA,,,
370,Nestle Purina PetCare Company,"Maintain accurate records/log of analytical requests and data. Integrate metabolomics, transcriptomics and other clinical information with microbiome data to...",1,Scientist (Microbial Ecologist) – Research Nutrition,St. Louis,MO,,,
371,DEPT OF YOUTH & COMM DEV SRVS,Ability to identify and resolve data integrity issues. Manage data collection and conduct quantitative and qualitative analysis....,3,Capacity Building Analyst,Manhattan,NY,68239.0,85644.0,76941.5
372,Harvard Pilgrim Health Care,The Senior Data Scientist is accountable for providing innovative solutions driven by exploratory data analysis from complex and high-dimensional datasets....,8,Senior Data Scientist,Wellesley,MA,,,
373,BOEING,Skilled scientists and thinkers. Collects and assembles data from multiple sources. The Boeing Company seeks a Staff Analyst 3 to support the Huntsville Ground...,1,Staff Analyst - Mid Level,Tucson,AZ,,,
374,Mckesson,"Expertise troubleshooting data quality issues, analyzing data requirements, and utilizing big data systems. The Data Engineer will work with data scientists,...",30,"Data Engineer, Six Sigma",Alpharetta,GA,,,
375,Singulex Inc,Level scientists to perform immunoassays using Singulex Erenna ® Immunoassay System platform. The candidate will analyze and summarize data in Excel...,1,Research Associate II/ III,Alameda,CA,,,
376,IFF,"Analyze data, accurately document experiments, propose next steps 20%. This position is for an experienced scientist with developing technical knowledge,...",15,Sr. Research Investigator,Union Beach,NJ,,,
377,TTi Global,The Research Scientist will also become familiar with analytical resources in other business units within Company and in academia....,9,Research Scientist,Tarrytown,NY,,,
378,AstraZeneca,"Experience of Development, programme design and data analysis and interpretation. B&I drives good design to generate the data needed for quality decision making...",4,Senior Statistician Oncology,Gaithersburg,MD,,,
379,Aetna,"Aetna continues to build a world-class Data Science organization to capture data, understand context, generate insights and react in real time....",15,Senior Data Scientist,Hartford,CT,,,
380,Storm8,"5+ years of work experience, preferably as data scientist or in highly analytical role. 3-5 years of work experience, preferably as a data scientist or in...",18,Senior Data Scientist,Redwood City,CA,,,
381,PlaceIQ,"You will interface regularly with our team of data scientists to uncover insights from advertising campaigns into coherent, data-driven narratives....",24,Reporting Analyst,New York,NY,,,
382,Johnson College,Data Analysis within Higher Education:. Johnson College is seeking an Institutional Effectiveness Manager of Data Analysis....,16,Institutional Effectiveness Manager of Data Analysis,Scranton,PA,,,
383,Emerson Howell Nagel & Associates,Experience working with large data sets. Develop architecture for managing data flows from external sources. A leading automotive financial services company is...,26,Quantitative Analyst,Philadelphia,PA,,,
384,EMD,The Principal Scientist will assume all aspects of the lead scientist role in new customer processes and process related functions....,30,Principal Scientist,Carlsbad,CA,,,
385,University of Michigan,Examples include portfolio review and user education on modeling and wealth screening data. Serve as a steward of the data in DART by maintaining clean and...,18,Development Research Analyst,Ann Arbor,MI,,,
386,Virginia Tech,"Professional experience in institutional research, data analysis, business intelligence, data mining, decision support, or a related field....",22,Director of Academic Data Analysis and Visualization,Blacksburg,VA,,,
387,Accenture,"Minimum of 2 years of Data Analysis / Data Analytics / Data Scientist experience. Work closely with clients to define data sources, data correlation, and...",10,Telecommunications Data Analytics Consultant,Atlanta,GA,,,
388,Fractal Analytics,"Knowledge of data conversion strategy, capturing data, creating source to target definitions for ETL / data flow process, data quality and data base management....",3,"Engagement Manager, Advanced Analytics",Jersey City,NJ,,,
389,Merck KGaA,The Principal Scientist will assume all aspects of the lead scientist role in new customer processes and process related functions....,30,Principal Scientist,Carlsbad,CA,,,
390,Theranos,"Machine learning and data mining experience required. Strong skills in statistical analysis of large quantities of scientific measurement data, deep knowledge...",8,Scientist (Machine Learning),Palo Alto,CA,,,
