,company,description,location,post_date,salary,title,temp,city,temp1,state,yearly_salary,monthly_salary,range_low,range_high,salary_avg
1552,Genentech,"Data Science, Statistics, Biostatistics, Computer Science. Ideal candidate would be MS in data science, statistics, biostatistics degree candidates;...","South San Francisco, CA",29,None,Intern - Statistical Programming and Analysis,"[u'South San Francisco', u' CA']",South San Francisco,[u' CA'],CA,,,,,
1553,Boxed,Grow as an data scientist. There is a tremendous amount of things happening across our platforms and we are looking for a seasoned Data Scientist to leverage...,"San Mateo, CA 94403 (Sugerloaf area)",10,None,Senior Data Scientist,"[u'San Mateo', u' CA 94403 (Sugerloaf area)']",San Mateo,[u' CA 94403 (Sugerloaf area)'],CA,,,,,
1554,Mines.io,We are looking for a data scientist/developer to fill a cross-functional role on our small team. We expect you to be able to work and experiment with large data...,"San Francisco, CA",30,"<nobr>$80,000 - $120,000 a year</nobr>",Full-Stack Data Scientist,"[u'San Francisco', u' CA']",San Francisco,[u' CA'],CA,"<nobr>$80,000 - $120,000 a year</nobr>",,80000.0,120000.0,100000.0
1555,Airbnb,"Data Tools at Airbnb:. Great candidates thrive at the intersection of Software Engineering and Data Science and are motivated to help Data Scientists, Product...","San Francisco, CA",30,None,"Software Engineer, Data Tools","[u'San Francisco', u' CA']",San Francisco,[u' CA'],CA,,,,,
1556,IRI,"The candidate will work closely with senior scientists within the group to support discovery project teams which may include data presentation in team meetings,...","San Francisco, CA",4,None,Scientist,"[u'San Francisco', u' CA']",San Francisco,[u' CA'],CA,,,,,
1557,Mattel,"Professional experience working with both customer and research data sets. Evaluate, select and test tools used to perform data analysis and regression....","San Francisco, CA 94111 (Financial District area)",30,None,Principal Data Scientist,"[u'San Francisco', u' CA 94111 (Financial District area)']",San Francisco,[u' CA 94111 (Financial District area)'],CA,,,,,
1558,Teespring,"The Data team is composed of analysts, data scientists and engineers who are responsible for core data collections and application....","San Francisco, CA",30,None,Business Intelligence Analyst,"[u'San Francisco', u' CA']",San Francisco,[u' CA'],CA,,,,,
1559,Castlight Health,We’re hiring data scientists for a team to tackle a series of greenfield projects. Creativity and a startup mindset - we look to our data scientists to...,"San Francisco, CA 94105 (Financial District area)",30,None,Senior Data Science Engineer,"[u'San Francisco', u' CA 94105 (Financial District area)']",San Francisco,[u' CA 94105 (Financial District area)'],CA,,,,,
1560,Von Church,"2+ years of experience in a data analyst, financial analyst, data scientist or similar role performing quantitative, statistical or financial analysis....","San Francisco, CA",30,None,Jr. Data Analyst,"[u'San Francisco', u' CA']",San Francisco,[u' CA'],CA,,,,,
1561,Storm8,"5+ years of work experience, preferably as data scientist or in highly analytical role. 3-5 years of work experience, preferably as a data scientist or in...","Redwood City, CA 94065",18,None,Senior Data Scientist,"[u'Redwood City', u' CA 94065']",Redwood City,[u' CA 94065'],CA,,,,,
1562,Twitch,"Experience working with event-based product usage data, ideally as a Data Scientist at a web/mobile product company....","San Francisco, CA",26,None,Data Science Manager,"[u'San Francisco', u' CA']",San Francisco,[u' CA'],CA,,,,,
1563,Singulex Inc,Level scientists to perform immunoassays using Singulex Erenna ® Immunoassay System platform. The candidate will analyze and summarize data in Excel...,"Alameda, CA",1,None,Research Associate II/ III,"[u'Alameda', u' CA']",Alameda,[u' CA'],CA,,,,,
1564,Collective Health,You'll also work collaboratively with health data scientists and actuaries to productize insights derived from their analysis....,"San Mateo, CA 94401 (North Central area)",17,None,Data Engineer,"[u'San Mateo', u' CA 94401 (North Central area)']",San Mateo,[u' CA 94401 (North Central area)'],CA,,,,,
1565,Zymergen,We favor a Scientist with experience in some or all of the following areas:. Zymergen is hiring a Scientist with experience in fermentation to advance bench...,"Emeryville, CA 94608",21,None,"Scientist, Fermentation","[u'Emeryville', u' CA 94608']",Emeryville,[u' CA 94608'],CA,,,,,
1566,ZestFinance,"Knowledge of data structures and parallelization. Experience with large scale data storage and analysis (e.g., Spark, MapReduce) is a plus....","San Francisco, CA",15,None,Sr. Machine Learning Modeler / Data Scientist,"[u'San Francisco', u' CA']",San Francisco,[u' CA'],CA,,,,,
1567,VEVO,Using real time data collection/analytics and data science/machine learning we are building a clean and smart consumer experience....,"San Francisco, CA",30,None,Senior Software Engineer - Data Platform,"[u'San Francisco', u' CA']",San Francisco,[u' CA'],CA,,,,,
1568,Uber,"You like sifting through terabytes of data, moving them from system to system, transforming them from one format to the other in the most efficient way....","San Francisco, CA 94103 (South Of Market area)",30,None,Software Engineer - Machine Learning,"[u'San Francisco', u' CA 94103 (South Of Market area)']",San Francisco,[u' CA 94103 (South Of Market area)'],CA,,,,,
1569,Uber,The Data Scientist - Rider role will provide the data expertise as we drive towards enhancing growth and deepening engagement....,"San Francisco, CA 94103 (South Of Market area)",30,None,Data Science - Rider,"[u'San Francisco', u' CA 94103 (South Of Market area)']",San Francisco,[u' CA 94103 (South Of Market area)'],CA,,,,,
1570,Earnest,Build data models for business intelligence. Minimum 5 years experience in detailed data modeling/ analytics. Enthusiasm for learning new things and going deep...,"San Francisco, CA 94110 (Mission area)",30,None,Quantitative Insights Analyst,"[u'San Francisco', u' CA 94110 (Mission area)']",San Francisco,[u' CA 94110 (Mission area)'],CA,,,,,
1571,Fanatics Inc.,"Methodical approach to areas such as Data Modeling, Data Quality, System Performance. Work closely with data scientists to assist on feature engineering, model...","San Mateo, CA",30,None,"MTS 1, Data Science & Engineering","[u'San Mateo', u' CA']",San Mateo,[u' CA'],CA,,,,,
1572,Celgene,Published evidence of nextgen sequencing data analysis:. He/she will work closely with the bioinformatics and discovery teams to generate data using emerging...,"San Francisco, CA",1,None,"Postdoc, Informatics and Knowledge Utilization","[u'San Francisco', u' CA']",San Francisco,[u' CA'],CA,,,,,
1573,Hampton Creek Foods,"You know how to ask smart questions, frame problems, develop hypotheses, and test them (often creatively) through data....","San Francisco, CA",9,None,Consumer Behavioral Scientist,"[u'San Francisco', u' CA']",San Francisco,[u' CA'],CA,,,,,
1574,Salesforce,"The Product Data Science (PDS) team is made up of data scientists, engineers, and growth analysts who are dedicated to driving product strategy with data-driven...","San Francisco, CA",25,None,"Growth Analyst, Product Data Science Intern: Summer 2016","[u'San Francisco', u' CA']",San Francisco,[u' CA'],CA,,,,,
1575,Exponent,"Exponent’s Technology Development Practice is currently hiring an Associate with expertise in Machine Learning, Data Analytics, and Software Development....","Menlo Park, CA 94025",12,None,Software and Analytics Associate,"[u'Menlo Park', u' CA 94025']",Menlo Park,[u' CA 94025'],CA,,,,,
1576,Workbridge Associates,Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,"Berkeley, CA",10,"<nobr>$120,000 - $155,000 a year</nobr>",Senior Data Scientist (Healthcare),"[u'Berkeley', u' CA']",Berkeley,[u' CA'],CA,"<nobr>$120,000 - $155,000 a year</nobr>",,120000.0,155000.0,137500.0
1577,Glass Lewis,"COMPANY OVERVIEW Glass, Lewis & Co. is a leading investment research and global proxy advisory and voting services firm, serving institutions that","San Francisco, CA",3,None,Junior Proxy Research Analyst - Asian Research Team (Korea),"[u'San Francisco', u' CA']",San Francisco,[u' CA'],CA,,,,,
1578,University of California Berkeley,"Experienced in working with a small to med size data warehouse. The University of California, Berkeley, is one of the world’s most iconic teaching and research...","Berkeley, CA",30,None,"Associate Director of Data Analysis, Haas School of Business...","[u'Berkeley', u' CA']",Berkeley,[u' CA'],CA,,,,,
1579,MetaMind,"As a [Deep Learning Research Intern], you will work with a team of Research Scientists and Engineers tackling real-world problems involving challenging data...","San Francisco, CA",30,None,"Research Intern, Deep Learning","[u'San Francisco', u' CA']",San Francisco,[u' CA'],CA,,,,,
1580,"Aspera, an IBM Company",The Data Engineer position will focus on big data architectural problems in the Hadoop ecosystem. Container-izing these data pipelines for deployment....,"Emeryville, CA",30,None,Data Analytics Engineer at AsperaLabs,"[u'Emeryville', u' CA']",Emeryville,[u' CA'],CA,,,,,
1581,Von Church,"2+ years of experience in a data analyst, financial analyst, data scientist or similar role performing quantitative, statistical or financial analysis....","San Francisco, CA",30,None,Data Analyst,"[u'San Francisco', u' CA']",San Francisco,[u' CA'],CA,,,,,
1582,Nisum Technologies,"The Data Scientist, Advanced Analytics—Inventory, delivers dedicated analytics and algorithms pertaining to driving inventory profitability and identifies and...","San Francisco, CA 94107 (South Of Market area)",1,"<nobr>$100,000 a year</nobr>",Data Scientist,"[u'San Francisco', u' CA 94107 (South Of Market area)']",San Francisco,[u' CA 94107 (South Of Market area)'],CA,"<nobr>$100,000 a year</nobr>",,100000.0,,100000.0
1583,Theravance Biopharma,"Scientist or above, depending on qualifications) in drug discovery research with a particular focus on gastrointestinal diseases....","South San Francisco, CA",30,None,Sr. Scientist,"[u'South San Francisco', u' CA']",South San Francisco,[u' CA'],CA,,,,,
1584,Stemcentrx,"Design and execute experiments, critically interpret data and provide future directions. Ability to multitask and manage multiple projects simultaneously, keep...","South San Francisco, CA",1,None,Scientist / Senior Scientist - Immuno-Oncology,"[u'South San Francisco', u' CA']",South San Francisco,[u' CA'],CA,,,,,
1585,Genentech,"Biostatisticians, PCOR Scientist, Safety Scientist, Clinical Scientist, Biomarker Scientist, etc.). Proactively maintain comprehensive knowledge of clinical...","South San Francisco, CA",30,None,"Senior Data Analytics Specialist, Statistical Programming an...","[u'South San Francisco', u' CA']",South San Francisco,[u' CA'],CA,,,,,
1586,GoDaddy,"Solid foundation in machine learning, data structures, algorithms, and software design. We're looking for full-stack developers to build infrastructure and...","San Francisco, CA",30,None,Senior Software Engineer - Data Science - Machine Learning,"[u'San Francisco', u' CA']",San Francisco,[u' CA'],CA,,,,,
1587,Corporate Labs Technology,"Natural Language Processing Brisbane, CA Sign on bonus Stocks! Up to 10% bonuses $110-180k depending on experience Fast growing social media company is","Brisbane, CA",30,"<nobr>$110,000 - $180,000 a year</nobr>",Data Scientist (Natural Language Processing),"[u'Brisbane', u' CA']",Brisbane,[u' CA'],CA,"<nobr>$110,000 - $180,000 a year</nobr>",,110000.0,180000.0,145000.0
1588,Hampton Creek Foods,"You’ll join a multi-disciplinary team of biochemists, food scientists, materials scientists, computational biologists, process engineers, and data engineers, in...","San Francisco, CA",24,None,Machine Learning Scientist,"[u'San Francisco', u' CA']",San Francisco,[u' CA'],CA,,,,,
1589,Circle Internet Financial,Lead Risk Data Scientist. Guide and mentor data scientists and analysts in building models and conducting analysis....,"San Francisco, CA",30,None,Lead Risk Data Scientist,"[u'San Francisco', u' CA']",San Francisco,[u' CA'],CA,,,,,
1590,"Gametime United, Inc.","If you’re passionate about big data and data-driven engineering, curious about any problem where data can be applied, and love scaling large data sets, we’d...","San Francisco, CA",1,None,Machine Learning Engineer,"[u'San Francisco', u' CA']",San Francisco,[u' CA'],CA,,,,,
1591,The Climate Corporation,Evaluate the limitations of existing data sources and provide concrete recommendations for data needs. The Climate Corporation is looking for experienced...,"San Francisco, CA",12,None,Senior Statistician,"[u'San Francisco', u' CA']",San Francisco,[u' CA'],CA,,,,,
1592,SF VA Medical Center,"Compose and edit manuscripts to report data derived from experimental studies. Computer literacy with emphasis on Windows Excel, Abobe Photoshop, and...","San Francisco, CA",9,None,Research Scholar,"[u'San Francisco', u' CA']",San Francisco,[u' CA'],CA,,,,,
1593,Sano,Develop production quality code that will run in our data processing centers. Create algorithms that scale easily with both the amount of data per user and the...,"San Francisco, CA",30,None,Signal Processing Scientist,"[u'San Francisco', u' CA']",San Francisco,[u' CA'],CA,,,,,
1594,"MyoKardia, Inc.","Documents experimental processes and data in laboratory notebook. Responsible for small molecule NCEs’ analytical method development, drug substance and drug...","San Francisco, CA",30,None,Senior Research Associate II/Associate Scientist,"[u'San Francisco', u' CA']",San Francisco,[u' CA'],CA,,,,,
1595,Space-Time Insight,"The Data Scientist will also own the roadmap for analytic functionality in specific areas. In particular, the data scientist will focus on Big Data Scala...","San Mateo, CA",30,None,Sr. Data Scientist,"[u'San Mateo', u' CA']",San Mateo,[u' CA'],CA,,,,,
1596,Doximity,"We're looking for a Data Analyst to join our data team. Develop, implement and maintain data products utilizing both external data and Doximity’s rich internal...","San Francisco, CA",19,None,Data Analyst/Senior Data Analyst,"[u'San Francisco', u' CA']",San Francisco,[u' CA'],CA,,,,,
1597,Gilead,"Assists in submissions of electronic data (e.g., SAS® data sets) to regulatory agencies. Has thorough knowledge of clinical trial study design and electronic...","Foster City, CA",1,None,Senior Statistical Programmer,"[u'Foster City', u' CA']",Foster City,[u' CA'],CA,,,,,
1598,Gilead Sciences,"Assists in submissions of electronic data (e.g., SAS® data sets) to regulatory agencies. Has thorough knowledge of clinical trial study design and electronic...","Foster City, CA",1,None,Senior Statistical Programmer,"[u'Foster City', u' CA']",Foster City,[u' CA'],CA,,,,,
1599,"Portola Pharmaceuticals, Inc.",The Scientist will work in a team environment with members of the analytical and formulations group along with scientists from related discipline throughout the...,"South San Francisco, CA",1,None,"Scientist/Senior Scientist, Technical Transfer","[u'South San Francisco', u' CA']",South San Francisco,[u' CA'],CA,,,,,
1600,Brilent,"Perform large-scale data analysis, find interesting patterns and translate them into product improvements. We are building the next-generation, big data talent...","San Mateo, CA 94402 (Beresford area)",30,"<nobr>$130,000 a year</nobr>",Senior Data Scientist,"[u'San Mateo', u' CA 94402 (Beresford area)']",San Mateo,[u' CA 94402 (Beresford area)'],CA,"<nobr>$130,000 a year</nobr>",,130000.0,,130000.0
1601,Glassdoor,Mentor a team of data scientists and ML engineers. Hands-on experience analyzing large data sets - how do you define big data?...,"San Francisco, CA",30,None,Principal Data Scientist,"[u'San Francisco', u' CA']",San Francisco,[u' CA'],CA,,,,,
1602,EBay,"Data Science & Analytics. Extensive experience with Big Data storage and analysis technologies, such as Hadoop, data warehouse platforms and NoSQL solutions....","Brisbane, CA",23,None,Research Scientist,"[u'Brisbane', u' CA']",Brisbane,[u' CA'],CA,,,,,
1603,Technosoft Corporation.,"Ability to build data sets for operational and exploratory analysis,. SFO*....","San Francisco, CA",30,None,Quantitative Analyst,"[u'San Francisco', u' CA']",San Francisco,[u' CA'],CA,,,,,
1604,Gilead Sciences,Specific Responsibilities Currently looking for qualified candidates with SAS macro expertise to provide a critical role in supporting the programming teams,"Foster City, CA",1,None,Statistical Programmer I - Macro,"[u'Foster City', u' CA']",Foster City,[u' CA'],CA,,,,,
1605,KPMG,"Five years of professional experience working as a Data Scientist. Machine learning, data visualization, statistical modeling, data mining, or information...","San Francisco, CA 94111 (Financial District area)",30,None,"Sr Associate Data Scientist, Big Data","[u'San Francisco', u' CA 94111 (Financial District area)']",San Francisco,[u' CA 94111 (Financial District area)'],CA,,,,,
1606,Gilead,Currently looking for qualified candidates with SAS macro expertise to provide a critical role in supporting the programming teams in the following,"Foster City, CA",1,None,Statistical Programmer I - Macro,"[u'Foster City', u' CA']",Foster City,[u' CA'],CA,,,,,
1607,Uber,"The adversarial problems we solve are among the toughest challenges a data scientist can encounter. Our opponents morph everyday, and we use data at scale to...","San Francisco, CA 94105 (Financial District area)",9,None,Data Scientist - Fraud and Security,"[u'San Francisco', u' CA 94105 (Financial District area)']",San Francisco,[u' CA 94105 (Financial District area)'],CA,,,,,
1608,Genentech,Experience managing quantitative scientists. Good understanding of private and public real-world data sources....,"South San Francisco, CA",26,None,Associate Director Real World Data Sci,"[u'South San Francisco', u' CA']",South San Francisco,[u' CA'],CA,,,,,
1609,Zymergen,"At Zymergen, the Scientist will work together with other scientists, automation engineers, and software engineers to develop micro-well plate scale models for...","Emeryville, CA 94608",21,None,"Scientist, Biology","[u'Emeryville', u' CA 94608']",Emeryville,[u' CA 94608'],CA,,,,,
1610,Adobe,"Search engineers, data scientist, and linguists. We’re looking for top notch search and data scientists at all levels to work on relevance & ranking, data...","San Francisco, CA",9,None,Senior Lead Search Scientist,"[u'San Francisco', u' CA']",San Francisco,[u' CA'],CA,,,,,
1611,ENVIRON International Corporation,"Experience with spatial statistics and large-scale data analysis techniques, including data mining. Statistical analysis of data, and creating models that...","San Francisco, CA",2,None,Environmental Scientist/Engineer,"[u'San Francisco', u' CA']",San Francisco,[u' CA'],CA,,,,,
1612,Verisk Analytics,Principal Data Scientist/Predictive Modeler – Insurance Analytics. Principal Data Scientist/Predictive Modeler for our Insurance Analytics group....,"San Francisco, CA",1,None,Sr. Principal Data Scientist/Predictive Modeler,"[u'San Francisco', u' CA']",San Francisco,[u' CA'],CA,,,,,
1613,Integrated Resources,"Present data/ strategy to scientists and management in internal and external venues (technical meetings, project team meetings, conferences) and publish in peer...","San Francisco, CA",6,None,Analytical Scientist,"[u'San Francisco', u' CA']",San Francisco,[u' CA'],CA,,,,,
1614,Fitbit,"Experience validating sensor performance including human data collections when necessary. Programming, data analysis and scientific computation preferred...","San Francisco, CA 94105 (Financial District area)",30,None,"Research Scientist, Biosensors","[u'San Francisco', u' CA 94105 (Financial District area)']",San Francisco,[u' CA 94105 (Financial District area)'],CA,,,,,
1615,GE Healthcare,Hands-on advanced proficiency in handling and analyzing large data sets such as medical imaging data. Experience working with biomedical non-imaging data....,"San Ramon, CA",30,None,Sr Staff Data Scientist,"[u'San Ramon', u' CA']",San Ramon,[u' CA'],CA,,,,,
1616,Ten-X,"Third Party Data Sets. Strong knowledge of all traditional Data Warehouse-related components (Sourcing, ETL, Data Modeling, Infrastructure, BI, Reporting) and...","Belmont, CA",1,None,Senior Data Scientist,"[u'Belmont', u' CA']",Belmont,[u' CA'],CA,,,,,
1617,Kahuna,"Kahuna’s Lead Data Scientist / Software Engineer will lead a small team that will use time series data for customer events and attributes, analyzing that data...","Redwood City, CA",7,None,Lead Data Scientist / Software Engineer,"[u'Redwood City', u' CA']",Redwood City,[u' CA'],CA,,,,,
1618,AT&T,"Working knowledge of machine learning, big data and real-time analytics. Big data analytics of end-to-end service and quality management- Create service KPIs...","San Ramon, CA",30,None,Sr Member of Technical Staff Data Scientist,"[u'San Ramon', u' CA']",San Ramon,[u' CA'],CA,,,,,
1619,Oakland Unified School District,"Provide training on data analysis, data systems and appropriate use of data to District staff. Data Analyst II:....","Oakland, CA",29,"<nobr>$72,364 - $96,934 a year</nobr>","Data Analyst II (Department: Research, Assessment & Data)","[u'Oakland', u' CA']",Oakland,[u' CA'],CA,"<nobr>$72,364 - $96,934 a year</nobr>",,72364.0,96934.0,84649.0
1620,Workday,"Work with product managers to formulate the data analytics problem. Professional experience analyzing large-scale complex data sets, modeling, and productizing...","San Francisco, CA 94105 (Financial District area)",30,None,Senior Data Scientist,"[u'San Francisco', u' CA 94105 (Financial District area)']",San Francisco,[u' CA 94105 (Financial District area)'],CA,,,,,
1621,Natera,Experience with genetic data or high throughput sequencing. Natera is currently seeking a Senior Data Scientist who will play a key role in development of new...,"San Carlos, CA 94070",17,None,"Senior Data Scientist, Algorithm Development","[u'San Carlos', u' CA 94070']",San Carlos,[u' CA 94070'],CA,,,,,
1622,CircleUp,"We are looking for a data scientist who will be responsible for a variety of different projects, including data collection, data analysis, and algorithm...","San Francisco, CA",30,None,Senior Data Scientist,"[u'San Francisco', u' CA']",San Francisco,[u' CA'],CA,,,,,
1623,Brilent,"As a data scientist intern, you will work alongside our small team of data scientists and engineers to improve our core technology and better serve our...","San Mateo, CA 94402 (Beresford area)",30,None,Data Scientist Intern,"[u'San Mateo', u' CA 94402 (Beresford area)']",San Mateo,[u' CA 94402 (Beresford area)'],CA,,,,,
1624,"Pandora Media, Inc.","Data visualization experience. Support our sales organization by providing valuable insights from a myriad of data sources including usage logs, analytics...","Oakland, CA",1,None,Sales Research Analyst,"[u'Oakland', u' CA']",Oakland,[u' CA'],CA,,,,,
1625,"23andMe, Inc.",We are looking for a talented scientist to work on drug discovery using genetic and genomic data. We have a highly interactive research environment using the...,"Redwood City, CA",28,None,Computational Biologist,"[u'Redwood City', u' CA']",Redwood City,[u' CA'],CA,,,,,
1626,Earnest,We’re looking for an experienced and creative Senior Data Scientist to join our data team - the team responsible for making our vision a reality....,"San Francisco, CA 94110 (Mission area)",30,None,Senior Data Scientist,"[u'San Francisco', u' CA 94110 (Mission area)']",San Francisco,[u' CA 94110 (Mission area)'],CA,,,,,
1627,Cypress HCM,"Senior Data Scientist. As the first Data Scientist on the team, you will be instrumental in utilizing novel machine learning methods to improve upon and create...","Redwood City, CA",4,None,Senior Data Scientist,"[u'Redwood City', u' CA']",Redwood City,[u' CA'],CA,,,,,
1628,Esurance,Extensive experience in data management and data scrubbing. Data scientists in the group develop tangible and actionable recommendations that are then...,"San Francisco, CA",1,None,Data Scientist,"[u'San Francisco', u' CA']",San Francisco,[u' CA'],CA,,,,,
1629,Workbridge Associates,"Familiarity with data visualization, web analytics and modeling. 5+ years experience in machine learning and big data technologies (Hadoop or Spark preferred)....","San Francisco, CA",10,"<nobr>$120,000 - $165,000 a year</nobr>",Senior Level Data Scientist,"[u'San Francisco', u' CA']",San Francisco,[u' CA'],CA,"<nobr>$120,000 - $165,000 a year</nobr>",,120000.0,165000.0,142500.0
1630,The Climate Corporation,"Data ETL pipelines. As an associate data engineer, you will be responsible for building, testing, and deploying tools and services to help scientists build new...","San Francisco, CA",30,None,Associate Data Engineer,"[u'San Francisco', u' CA']",San Francisco,[u' CA'],CA,,,,,
1631,Pocket Gems,"Mentor a team of analysts, data scientists, and data engineers; We think that our analysts, data scientists, and analytics engineers are working on several...","San Francisco, CA 94104 (Financial District area)",30,None,Director of Analytics,"[u'San Francisco', u' CA 94104 (Financial District area)']",San Francisco,[u' CA 94104 (Financial District area)'],CA,,,,,
1632,Walmart eCommerce,The team will consist of other behavioral scientists with various skill sets. The position is an applied role involving data analytics supporting projects the...,"San Bruno, CA 94066",8,None,Research and Analytics,"[u'San Bruno', u' CA 94066']",San Bruno,[u' CA 94066'],CA,,,,,
1633,Castlight Health,"We’re hiring data scientists for a team to tackle a series of greenfield projects. The ideal candidate will be an entrepreneurial, motivated data scientist who...","San Francisco, CA 94105 (Financial District area)",30,None,Senior Data Scientist,"[u'San Francisco', u' CA 94105 (Financial District area)']",San Francisco,[u' CA 94105 (Financial District area)'],CA,,,,,
1634,MakroScientific,"Biological image data analysis, using microscopy, programming skills (MATLAB or R):. Must have working experience or extensive course work related to...","San Francisco, CA",30,None,Research Associate,"[u'San Francisco', u' CA']",San Francisco,[u' CA'],CA,,,,,
1635,Rangam Consultants Inc.,"Present data/ strategy to scientists and management in internal and external venues (technical meetings, project team meetings, conferences) and publish in peer...","South San Francisco, CA 94080",30,None,Analytical Scientist,"[u'South San Francisco', u' CA 94080']",South San Francisco,[u' CA 94080'],CA,,,,,
1636,University of California San Francisco,"And will supervise and work with the data manager in data cleaning and management, report preparation, data dictionary creation, database QA, and software...","San Francisco, CA",10,None,Sr. Statistician,"[u'San Francisco', u' CA']",San Francisco,[u' CA'],CA,,,,,
1637,University of California San Francisco,"The Research Data Analyst will be asked to ensure data quality (assessing data completeness, cleaning, verification, reliability and validity of study measures,...","San Francisco, CA",8,None,Research Data Analyst,"[u'San Francisco', u' CA']",San Francisco,[u' CA'],CA,,,,,
1638,The Nielsen Company,"Data Processing Management. Oversee all data processing and tabulation activities:. Data cleaning, recoding, weighting schema development, tab spec creation,...","San Francisco, CA",11,None,Research Analyst/ Sr. Research Analyst,"[u'San Francisco', u' CA']",San Francisco,[u' CA'],CA,,,,,
1639,Brilent,"The Brilent team brings together deep experience in machine learning, and data science from leading edge companies to solve the growing problem of leveraging...","San Mateo, CA 94402 (Beresford area)",30,"<nobr>$150,000 a year</nobr>",Senior NLP Scientist/Engineer,"[u'San Mateo', u' CA 94402 (Beresford area)']",San Mateo,[u' CA 94402 (Beresford area)'],CA,"<nobr>$150,000 a year</nobr>",,150000.0,,150000.0
1640,University of California San Francisco,Strong experience in data mining and statistics is a must. It will serve as a campus hub for computer scientists and for researchers who employ computation as a...,"San Francisco, CA",8,None,Bioinformatics Specialist,"[u'San Francisco', u' CA']",San Francisco,[u' CA'],CA,,,,,
1641,Lyft Corporate,Comfortable working with very large data sets. Experience with big data frameworks such as Hadoop and Spark preferred....,"San Francisco, CA",30,None,Senior Quantitative Analyst,"[u'San Francisco', u' CA']",San Francisco,[u' CA'],CA,,,,,
1642,University of California San Francisco,"Demonstrated ability to work collaboratively with a diverse group of individuals in the clinical field such as principal investigators, scientists, and...","San Francisco, CA",10,None,Protocol Development Specialist,"[u'San Francisco', u' CA']",San Francisco,[u' CA'],CA,,,,,
1643,Anki,"Build and execute hiring plans, and maintain a stellar staff including product analysts, data engineers, and data scientists....","San Francisco, CA",8,None,Senior Director of Analytics,"[u'San Francisco', u' CA']",San Francisco,[u' CA'],CA,,,,,
1644,Co Tap,Be the founding member of our data team. Triage problems with our product using user engagement data. We’re looking for the founding member of the Data team....,"San Francisco, CA",6,None,Senior Quantitative Product Analyst,"[u'San Francisco', u' CA']",San Francisco,[u' CA'],CA,,,,,
1645,Clover Health,We're looking for actuaries who interested in taking the actuarial discipline into the new era of data scientist tools and workflow....,"San Francisco, CA",22,None,Senior Actuarial Analyst,"[u'San Francisco', u' CA']",San Francisco,[u' CA'],CA,,,,,
1646,CEP America,Work closely with team Data Scientists and Analysts to design and build visualizations and reports that drive value for product decisions....,"Emeryville, CA",1,None,Business Intelligence Manager,"[u'Emeryville', u' CA']",Emeryville,[u' CA'],CA,,,,,
1647,Endgame,Managed a team of data scientists and set the technical direction of the team. Delivered high-quality internal machine learning tools and customer-facing data...,"San Francisco, CA 94107 (South Of Market area)",30,None,Director of Data Science,"[u'San Francisco', u' CA 94107 (South Of Market area)']",San Francisco,[u' CA 94107 (South Of Market area)'],CA,,,,,
1648,AncestryDNA,"Working with a nimble team of physicians, geneticists, statisticians, computer scientists and epidemiologists, the Bioinformatic Analyst will use these...","San Francisco, CA",24,None,Bioinformatic Analyst,"[u'San Francisco', u' CA']",San Francisco,[u' CA'],CA,,,,,
1649,Stitch Fix,You'll have access to world-class data scientists (and data) to help conceptualize story ideas. A strong background integrating data into content....,"San Francisco, CA",19,None,Men's Editorial Lead,"[u'San Francisco', u' CA']",San Francisco,[u' CA'],CA,,,,,
1650,Oracle,Senior Data Scientist – Utility Cloud Analytics. We are looking for a Senior Data Scientist to join the Customer Analytics team within our Utilities practic....,"San Francisco, CA 94109 (Nob Hill area)",30,None,Senior Data Scientist 3 | Oracle Utilities Analytics,"[u'San Francisco', u' CA 94109 (Nob Hill area)']",San Francisco,[u' CA 94109 (Nob Hill area)'],CA,,,,,
1651,Children's Hospital & Research Center Oakland,"Additionally, this position will support development of research protocols, data collection tools, and analysis of data;...","Oakland, CA",11,None,Assistant Scientist,"[u'Oakland', u' CA']",Oakland,[u' CA'],CA,,,,,
1652,Nurix,Participate in experimental design and data analysis. Collaborate with IT to streamline database entry and manage the data pipeline....,"San Francisco, CA",4,None,"SCIENTIST II/SENIOR SCIENTIST, ANALYTICAL CHEMISTRY","[u'San Francisco', u' CA']",San Francisco,[u' CA'],CA,,,,,
1653,Vida,"Working knowledge of distributed systems and big data processing pipelines. Define, research, experiment, prototype, design, code, test, deploy, maintain, and...","San Francisco, CA 94110 (Mission area)",10,None,"Scientist, Data Science","[u'San Francisco', u' CA 94110 (Mission area)']",San Francisco,[u' CA 94110 (Mission area)'],CA,,,,,
1654,"Amyris, Inc.","Scientist, Automated Strain Engineering. We prefer Scientists with experience in some or all of the following areas:....","Emeryville, CA",1,None,"Scientist, Automated Strain Engineering","[u'Emeryville', u' CA']",Emeryville,[u' CA'],CA,,,,,
1655,Natera,"Perform data analysis with advanced analytical tools (JMP, Excel, R). Natera is currently looking for a Senior Scientist to join their Research & Development...","San Carlos, CA 94070",1,None,Senior Scientist,"[u'San Carlos', u' CA 94070']",San Carlos,[u' CA 94070'],CA,,,,,
1656,Ptero,"With an environment that is both highly collaborative and fast-paced, software engineers work directly with both data scientists and designers to help build out...","San Francisco, CA",1,None,Senior Frontend Engineer,"[u'San Francisco', u' CA']",San Francisco,[u' CA'],CA,,,,,
