,budget,buf,country,date,gross,language,loction,production,runtime,tconst
64,"Opening Weekend:         $144,446        

      (USA)
      (29 October 1999)","Production Co:

DENTSU Music And Entertainment,        
Nibariki,        
Nippon Television Network (NTV) 
See more »","Country:
Japan","Release Date: 12 July 1997 (Japan)
    
See more »","Gross:        $2,298,191        

      (USA)
(17 December 1999)","Language:
Japanese","Budget:        JPY 2,400,000,000        

      (estimated)","Production Co:

DENTSU Music And Entertainment,        
Nibariki,        
Nippon Television Network (NTV) 
See more »","Runtime:
134 min",tt0119698
65,"Budget:        $3,000,000        

      (estimated)","Gross:        $2,181,290        

      (USA)
(20 December 2013)","Country:
South Korea","Release Date: 21 November 2003 (South Korea)
    
See more »","Opening Weekend:         $44,465        

      (Hong Kong)
      (15 October 2004)","Language:
Korean","Filming Locations:
Songgye High School, Chinju, Kyongsangnam-Do, South Korea

See more »","Gross:        $2,181,290        

      (USA)
(20 December 2013)","Show detailed
company contact information
  on 
  IMDbPro »",tt0364569
66,"Production Co:

RKO Radio Pictures,        
Mercury Productions 
See more »","Runtime:
119 min","Language:
English","Also Known As: American
      
See more »","Show detailed
company contact information
  on 
  IMDbPro »","Release Date: 5 September 1941 (USA)
    
See more »","Budget:        $686,033        

      (estimated)","Runtime:
119 min","Color:
 Black and White",tt0033467
67,"Budget:        $30,000,000        

      (estimated)","Production Co:

Ladd Company, The,        
Embassy International Pictures,        
Producers Sales Organization (PSO) 
See more »","Country:
Italy
|
USA","Release Date: 1 June 1984 (USA)
    
See more »","Gross:        $5,300,000        

      (USA)","Language:
English
|
Italian
|
French","Filming Locations:
Intersection of Washington Street and Water Street, Dumbo, Brooklyn, New York City, New York, USA

See more »","Production Co:

Ladd Company, The,        
Embassy International Pictures,        
Producers Sales Organization (PSO) 
See more »","Runtime:
229 min
|
139 min
            (re-cut)
          |
251 min
            (extended director's cut)",tt0087843
68,"Production Co:

Metro-Goldwyn-Mayer (MGM) 
See more »","Runtime:
136 min","Language:
English","Also Known As: Alfred Hitchcock's North by Northwest
      
See more »","Show detailed
company contact information
  on 
  IMDbPro »","Release Date: 26 September 1959 (Japan)
    
See more »","Budget:        $3,101,000        

      (estimated)","Runtime:
136 min","Color:
Color
(Technicolor)",tt0053125
69,"Budget:        $14,000,000        

      (estimated)","Gross:        $11,433,134        

      (USA)
(25 April 1997)","Country:
West Germany","Release Date: 10 February 1982 (USA)
    
See more »","Opening Weekend:         $68,369        

      (USA)
      (4 April 1997)","Language:
German
|
English
|
French","Filming Locations:
Bodensee, Bavaria, Germany

See more »","Gross:        $11,433,134        

      (USA)
(25 April 1997)","Show detailed
company contact information
  on 
  IMDbPro »",tt0082096
70,"Opening Weekend:         $1,486,818        

      (USA)
      (22 November 1996)","Production Co:

Alfred J. Hitchcock Productions 
See more »","Language:
English","Also Known As: 'Vertigo'
      
See more »","Gross:        $3,200,000        

      (USA)","Release Date: 21 July 1958 (Brazil)
    
See more »","Budget:        $2,479,000        

      (estimated)","Production Co:

Alfred J. Hitchcock Productions 
See more »","Runtime:
128 min
|
129 min
            (1996 restored)",tt0052357
71,"Production Co:

Edward Small Productions,        
Metro-Goldwyn-Mayer (MGM) 
See more »","Runtime:
116 min","Language:
English
|
German","Also Known As: Testigo de cargo
      
See more »","Show detailed
company contact information
  on 
  IMDbPro »","Release Date: 6 February 1958 (USA)
    
See more »","Budget:        $3,000,000        

      (estimated)","Runtime:
116 min","Color:
 Black and White",tt0051201
72,"Budget:        $32,500,000        

      (estimated)","Gross:        $309,125,409        

      (USA)
(6 June 1997)","Country:
USA","Release Date: 25 May 1983 (USA)
    
See more »","Opening Weekend:         $16,293,531        

      (USA)
      (14 March 1997)","Language:
English","Filming Locations:
Castle Dome Peak, Yuma, Arizona, USA

See more »","Gross:        $309,125,409        

      (USA)
(6 June 1997)","Show detailed
company contact information
  on 
  IMDbPro »",tt0086190
73,"Gross:        $28,877        

      (USA)
(31 May 2013)","Show detailed
company contact information
  on 
  IMDbPro »","Language:
German","Also Known As: M
      
See more »","Production Co:

Nero-Film AG 
See more »","Release Date: 31 August 1931 (Sweden)
    
See more »","Opening Weekend:         $6,123        

      (USA)
      (15 March 2013)","Show detailed
company contact information
  on 
  IMDbPro »","Sound Mix:
Mono",tt0022100
74,"Budget:        $1,200,000        

      (estimated)","Production Co:

Live Entertainment,        
Dog Eat Dog Productions Inc. 
See more »","Country:
USA","Release Date: 2 September 1992 (France)
    
See more »","Gross:        $2,812,029        

      (USA)","Language:
English","Filming Locations:
4459 Eagle Rock Blvd, Los Angeles, California, USA

See more »","Production Co:

Live Entertainment,        
Dog Eat Dog Productions Inc. 
See more »","Runtime:
99 min",tt0105236
75,"Gross:        $75,600,000        

      (USA)","Show detailed
company contact information
  on 
  IMDbPro »","Language:
English
|
French
|
Latin
|
Scottish Gaelic","Also Known As: Corazón valiente
      
See more »","Production Co:

Icon Entertainment International,        
Ladd Company, The,        
B.H. Finance C.V. 
See more »","Release Date: 24 May 1995 (USA)
    
See more »","Budget:        $72,000,000        

      (estimated)","Show detailed
company contact information
  on 
  IMDbPro »","Sound Mix:
DTS
| Dolby Digital",tt0112573
76,"Budget:        FRF 77,000,000        

      (estimated)","Gross:        $33,201,661        

      (USA)
(28 June 2002)","Country:
France
|
Germany","Release Date: 8 February 2002 (USA)
    
See more »","Opening Weekend:         $496,031        

      (France)
      (10 August 2001)","Language:
French
|
Russian","Filming Locations:
France

See more »","Gross:        $33,201,661        

      (USA)
(28 June 2002)","Show detailed
company contact information
  on 
  IMDbPro »",tt0211915
77,"Budget:        $4,500,000        

      (estimated)","Gross:        $3,609,278        

      (USA)
(2 March 2001)","Country:
USA","Release Date: 15 December 2000 (USA)
    
See more »","Opening Weekend:         $64,770        

      (USA)
      (6 October 2000)","Language:
English","Filming Locations:
Brooklyn, New York City, New York, USA

See more »","Gross:        $3,609,278        

      (USA)
(2 March 2001)","Show detailed
company contact information
  on 
  IMDbPro »",tt0180093
78,"Opening Weekend:         £618,615        

      (UK)
      (17 March 2000)","Show detailed
company contact information
  on 
  IMDbPro »","Language:
English","Also Known As: Stanley Kubrick's A Clockwork Orange
      
See more »","Production Co:

Warner Bros.,        
Hawk Films 
See more »","Release Date: 2 February 1972 (USA)
    
See more »","Budget:        $2,200,000        

      (estimated)","Show detailed
company contact information
  on 
  IMDbPro »","Sound Mix:
Dolby Digital
(re-issue)| Mono",tt0066921
79,"Budget:        $1,300,000        

      (estimated)","Show detailed
company contact information
  on 
  IMDbPro »","Country:
USA","Release Date: 8 February 1976 (USA)
    
See more »","Production Co:

Columbia Pictures Corporation,        
Columbia Pictures,        
Bill/Phillips 
See more »","Language:
English
|
Spanish","Filming Locations:
Manhattan, New York City, New York, USA

See more »","Show detailed
company contact information
  on 
  IMDbPro »","Sound Mix:
Dolby SR
(re-release)| Stereo",tt0075314
80,"Budget:        $927,262        

      (estimated)","Show detailed
company contact information
  on 
  IMDbPro »","Country:
USA","Release Date: 24 April 1944 (USA)
    
See more »","Production Co:

Paramount Pictures 
See more »","Language:
English","Filming Locations:
1825 N. Kingsley Drive, Hollywood, Los Angeles, California, USA

See more »","Show detailed
company contact information
  on 
  IMDbPro »","Sound Mix:
Mono
(Western Electric Mirrophonic Recording)",tt0036775
81,"Budget:        $200,000,000        

      (estimated)","Gross:        $414,984,497        

      (USA)
(26 November 2010)","Country:
USA","Release Date: 18 June 2010 (USA)
    
See more »","Opening Weekend:         $109,000,000        

      (USA)
      (18 June 2010)","Language:
English
|
Spanish","Filming Locations:
Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA

See more »","Gross:        $414,984,497        

      (USA)
(26 November 2010)","Show detailed
company contact information
  on 
  IMDbPro »",tt0435761
82,"Budget:        $15,000,000        

      (estimated)","Gross:        $6,000,000        

      (USA)","Country:
UK","Release Date: 11 December 1962 (UK)
    
See more »","Opening Weekend:         $32,930        

      (USA)
      (4 October 2002)","Language:
English
|
Arabic
|
Turkish","Filming Locations:
Morocco

See more »","Gross:        $6,000,000        

      (USA)","Show detailed
company contact information
  on 
  IMDbPro »",tt0056172
83,"Budget:        $2,000,000        

      (estimated)","Show detailed
company contact information
  on 
  IMDbPro »","Country:
USA","Release Date: 16 March 1963 (USA)
    
See more »","Production Co:

Universal International Pictures (UI),        
Pakula-Mulligan,        
Brentwood Productions 
See more »","Language:
English","Filming Locations:
Courthouse Square, Backlot, Universal Studios - 100 Universal City Plaza, Universal City, California, USA

See more »","Show detailed
company contact information
  on 
  IMDbPro »","Sound Mix:
Mono
(Westrex Recording System)",tt0056592
84,"Budget:        $20,000,000        

      (estimated)","Gross:        $34,126,138        

      (USA)
(18 June 2004)","Country:
USA","Release Date: 19 March 2004 (USA)
    
See more »","Opening Weekend:         $8,175,198        

      (USA)
      (19 March 2004)","Language:
English","Filming Locations:
123 Valentine Lane, Yonkers, New York, USA

See more »","Gross:        $34,126,138        

      (USA)
(18 June 2004)","Show detailed
company contact information
  on 
  IMDbPro »",tt0338013
85,"Budget:        $18,000,000        

      (estimated)","Gross:        $51,600,000        

      (USA)","Country:
USA
|
France","Release Date: 5 April 1985 (USA)
    
See more »","Opening Weekend:         $86,764        

      (USA)
      (5 April 2002)","Language:
English
|
Italian
|
Latin
|
German","Filming Locations:
Tyl Theatre, Plzen, Czech Republic

See more »","Gross:        $51,600,000        

      (USA)","Show detailed
company contact information
  on 
  IMDbPro »",tt0086879
86,"Gross:        $46,357,676        

      (USA)","Show detailed
company contact information
  on 
  IMDbPro »","Language:
English
|
Vietnamese","Also Known As: Stanley Kubrick's Full Metal Jacket
      
See more »","Production Co:

Natant,        
Stanley Kubrick Productions,        
Warner Bros. 
See more »","Release Date: 10 July 1987 (USA)
    
See more »","Budget:        $30,000,000        

      (estimated)","Show detailed
company contact information
  on 
  IMDbPro »","Sound Mix:
Mono",tt0093058
87,"Gross:        $159,600,000        

      (USA)","Show detailed
company contact information
  on 
  IMDbPro »","Language:
English","Also Known As: Der Clou
      
See more »","Production Co:

Zanuck/Brown Productions,        
Universal Pictures 
See more »","Release Date: 26 December 1973 (UK)
    
See more »","Budget:        $5,500,000        

      (estimated)","Show detailed
company contact information
  on 
  IMDbPro »","Sound Mix:
Mono
(Westrex Recording System)",tt0070735
88,"Gross:        $56,715,371        

      (USA)","Show detailed
company contact information
  on 
  IMDbPro »","Language:
English
|
Russian","Also Known As: How the Solar System Was Won
      
See more »","Production Co:

Metro-Goldwyn-Mayer (MGM),        
Stanley Kubrick Productions 
See more »","Release Date: 15 May 1968 (UK)
    
See more »","Budget:        $12,000,000        

      (estimated)","Show detailed
company contact information
  on 
  IMDbPro »","Sound Mix:
4-Track Stereo
(35 mm magnetic prints)| 70 mm 6-Track
(70 mm prints)| DTS 70 mm
(2001 re-release)",tt0062622
89,"Opening Weekend:         $11,845        

      (USA)
      (2 October 1998)","Production Co:

Produzioni De Sica (PDS),        
Produzioni De Sica 
See more »","Language:
Italian","Also Known As: Bicycle Thieves
      
See more »","Gross:        $332,930        

      (USA)
(3 September 1999)","Release Date: 13 December 1949 (USA)
    
See more »","Budget:        $133,000        

      (estimated)","Production Co:

Produzioni De Sica (PDS),        
Produzioni De Sica 
See more »","Runtime:
89 min
|
80 min
            (DVD edition)",tt0040522
90,"Production Co:

Metro-Goldwyn-Mayer (MGM),        
Loew's 
See more »","Runtime:
103 min","Language:
English","Also Known As: Cantando bajo la lluvia
      
See more »","Show detailed
company contact information
  on 
  IMDbPro »","Release Date: 11 April 1952 (USA)
    
See more »","Budget:        $2,540,800        

      (estimated)","Runtime:
103 min","Color:
Color
(Technicolor)|  Black and White",tt0045152
91,"Budget:        $30,000,000        

      (estimated)","Gross:        $191,796,233        

      (USA)","Country:
USA","Release Date: 22 November 1995 (USA)
    
See more »","Opening Weekend:         £18,210,323        

      (UK)
      (19 April 1996)","Language:
English","Filming Locations:
Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA

See more »","Gross:        $191,796,233        

      (USA)","Show detailed
company contact information
  on 
  IMDbPro »",tt0114709
92,"Budget:        £6,000,000        

      (estimated)","Gross:        $30,093,107        

      (USA)
(9 March 2001)","Country:
UK
|
USA","Release Date: 19 January 2001 (USA)
    
See more »","Opening Weekend:         £3,180,002        

      (UK)
      (1 September 2000)","Language:
English
|
Russian","Filming Locations:
Bethnal Green Town Hall, Bethnal Green, London, England, UK

See more »","Gross:        $30,093,107        

      (USA)
(9 March 2001)","Show detailed
company contact information
  on 
  IMDbPro »",tt0208092
93,"Opening Weekend:         $45,487        

      (USA)
      (15 June 2001)","Production Co:

Michael White Productions,        
National Film Trustee Company,        
Python (Monty) Pictures 
See more »","Language:
English
|
French
|
Latin","Also Known As: Die Ritter der Kokosnuß
      
See more »","Gross:        $1,229,197        

      (USA)
(25 May 2012)","Release Date: 23 May 1975 (UK)
    
See more »","Budget:        £229,575        

      (estimated)","Production Co:

Michael White Productions,        
National Film Trustee Company,        
Python (Monty) Pictures 
See more »","Runtime:
91 min",tt0071853
94,"Budget:        $75,000,000        

      (estimated)","Gross:        $120,523,073        

      (USA)
(11 December 2009)","Country:
USA
|
Germany","Release Date: 21 August 2009 (USA)
    
See more »","Opening Weekend:         £3,596,415        

      (UK)
      (21 August 2009)","Language:
English
|
German
|
French
|
Italian","Filming Locations:
Brasserie La Renaissance, 112 rue Championnet, Paris 18, Paris, France

See more »","Gross:        $120,523,073        

      (USA)
(11 December 2009)","Show detailed
company contact information
  on 
  IMDbPro »",tt0361748
95,"Gross:        $2,500,000        

      (USA)","Show detailed
company contact information
  on 
  IMDbPro »","Language:
English","Also Known As: El chico
      
See more »","Production Co:

Charles Chaplin Productions 
See more »","Release Date: 6 February 1921 (USA)
    
See more »","Budget:        $250,000        

      (estimated)","Show detailed
company contact information
  on 
  IMDbPro »","Sound Mix:
Mono
(new music score) (1971)| Silent",tt0012349
96,"Budget:        $35,000,000        

      (estimated)","Gross:        $64,604,977        

      (USA)
(29 May 1998)","Country:
USA","Release Date: 19 September 1997 (USA)
    
See more »","Opening Weekend:         $5,211,198        

      (USA)
      (19 September 1997)","Language:
English","Filming Locations:
501 Wilcox Avenue, Los Angeles, California, USA

See more »","Gross:        $64,604,977        

      (USA)
(29 May 1998)","Show detailed
company contact information
  on 
  IMDbPro »",tt0119488
97,"Production Co:

Produzioni Europee Associati (PEA),        
Arturo González Producciones Cinematográficas,        
Constantin Film Produktion 
See more »","Runtime:
132 min","Language:
Italian","Also Known As: For a Few Dollars More
      
See more »","Show detailed
company contact information
  on 
  IMDbPro »","Release Date: 10 May 1967 (USA)
    
See more »","Budget:        $750,000        

      (estimated)","Runtime:
132 min","Color:
Color
(Technicolor)",tt0059578
98,"Production Co:

Daiei Motion Picture Company 
See more »","Runtime:
88 min","Language:
Japanese","Also Known As: Rashomon
      
See more »","Show detailed
company contact information
  on 
  IMDbPro »","Release Date: 26 December 1951 (USA)
    
See more »","Budget:        $250,000        

      (estimated)","Runtime:
88 min","Color:
 Black and White",tt0042876
99,"Production Co:

Mirisch Corporation, The 
See more »","Runtime:
125 min","Language:
English","Also Known As: Das Appartement
      
See more »","Show detailed
company contact information
  on 
  IMDbPro »","Release Date: 16 September 1960 (France)
    
See more »","Budget:        $3,000,000        

      (estimated)","Runtime:
125 min","Color:
 Black and White",tt0053604
100,"Opening Weekend:         $242,821        

      (USA)
      (19 September 2003)","Production Co:

Universal Pictures 
See more »","Language:
English
|
Spanish","Also Known As: Caracortada
      
See more »","Gross:        $44,700,000        

      (USA)","Release Date: 9 December 1983 (USA)
    
See more »","Budget:        $25,000,000        

      (estimated)","Production Co:

Universal Pictures 
See more »","Runtime:
170 min
|
142 min
            (TV)",tt0086250
101,"Budget:        $48,000,000        

      (estimated)","Production Co:

Paramount Pictures,        
Lucasfilm 
See more »","Country:
USA","Release Date: 24 May 1989 (USA)
    
See more »","Gross:        $197,171,806        

      (USA)","Language:
English
|
German
|
Greek","Filming Locations:
Palazzi Barbaro, Grand Canal, Venice, Veneto, Italy

See more »","Production Co:

Paramount Pictures,        
Lucasfilm 
See more »","Runtime:
127 min",tt0097576
102,"Budget:        $500,000        

      (estimated)","Gross:        $7,098,492        

      (USA)
(15 June 2012)","Country:
Iran","Release Date: 16 March 2011 (Iran)
    
See more »","Opening Weekend:         $59,481        

      (USA)
      (30 December 2011)","Language:
Persian","Filming Locations:
Tehran, Iran","Gross:        $7,098,492        

      (USA)
(15 June 2012)","Show detailed
company contact information
  on 
  IMDbPro »",tt1832382
103,"Budget:        DEM 6,000,000        

      (estimated)","Gross:        $26,435        

      (USA)
(11 November 2011)","Country:
Germany","Release Date: 13 March 1927 (USA)
    
See more »","Opening Weekend:         $1,070        

      (USA)
      (8 August 2003)","Language:
German","Filming Locations:
Filmwerke Staaken, Staaken, Spandau, Berlin, Germany

See more »","Gross:        $26,435        

      (USA)
(11 November 2011)","Show detailed
company contact information
  on 
  IMDbPro »",tt0017136
104,"Opening Weekend:         $10,177        

      (USA)
      (6 October 2000)","Production Co:

Twentieth Century Fox Film Corporation 
See more »","Language:
English
|
French","Also Known As: Best Performance
      
See more »","Gross:        $10,177        

      (USA)
(6 October 2000)","Release Date: 15 January 1951 (Sweden)
    
See more »","Budget:        $1,400,000        

      (estimated)","Production Co:

Twentieth Century Fox Film Corporation 
See more »","Runtime:
138 min",tt0042192
105,"Budget:        INR 550,000,000        

      (estimated)","Gross:        $6,523,137        

      (USA)
(19 February 2010)","Country:
India","Release Date: 25 December 2009 (India)
    
See more »","Opening Weekend:         £437,554        

      (UK)
      (25 December 2009)","Language:
Hindi
|
English","Filming Locations:
Bangalore, Karnataka, India

See more »","Gross:        $6,523,137        

      (USA)
(19 February 2010)","Show detailed
company contact information
  on 
  IMDbPro »",tt1187043
106,"Show detailed
company contact information
  on 
  IMDbPro »","Sound Mix:
Perspecta Stereo
(Westrex Recording System)","Language:
Japanese","Also Known As: Yojimbo
      
See more »","Runtime:
110 min","Release Date: 13 September 1961 (USA)
    
See more »","Production Co:

Kurosawa Production Co.,        
Toho Company 
See more »","Sound Mix:
Perspecta Stereo
(Westrex Recording System)",Aspect Ratio: 2.35 : 1,tt0055630
107,"Budget:        $3,800,000        

      (estimated)","Gross:        $610,968        

      (USA)
(27 September 2013)","Country:
Denmark
|
Sweden","Release Date: 10 January 2013 (Denmark)
    
See more »","Opening Weekend:         $43,045        

      (USA)
      (12 July 2013)","Language:
Danish
|
English
|
Polish","Filming Locations:
Høje Taastrup Church, Taastrup, Denmark

See more »","Gross:        $610,968        

      (USA)
(27 September 2013)","Show detailed
company contact information
  on 
  IMDbPro »",tt2106476
108,"Budget:        $150,000,000        

      (estimated)","Gross:        $205,343,774        

      (USA)
(28 October 2005)","Country:
USA
|
UK","Release Date: 15 June 2005 (USA)
    
See more »","Opening Weekend:         £4,427,802        

      (UK)
      (17 June 2005)","Language:
English
|
Urdu
|
Mandarin","Filming Locations:
Coalhouse Fort, East Tilbury, Essex, England, UK

See more »","Gross:        $205,343,774        

      (USA)
(28 October 2005)","Show detailed
company contact information
  on 
  IMDbPro »",tt0372784
109,"Production Co:

Warner Bros. 
See more »","Runtime:
126 min","Language:
English
|
Spanish","Also Known As: Treasure of Sierra Madre
      
See more »","Show detailed
company contact information
  on 
  IMDbPro »","Release Date: 24 January 1948 (USA)
    
See more »","Budget:        $3,000,000        

      (estimated)","Runtime:
126 min","Color:
 Black and White",tt0040897
110,"Budget:        $10,000,000        

      (estimated)","Gross:        $138,339,411        

      (USA)
(24 July 1998)","Country:
USA","Release Date: 9 January 1998 (USA)
    
See more »","Opening Weekend:         $272,912        

      (USA)
      (5 December 1997)","Language:
English","Filming Locations:
Massachusetts Turnpike, Massachusetts, USA

See more »","Gross:        $138,339,411        

      (USA)
(24 July 1998)","Show detailed
company contact information
  on 
  IMDbPro »",tt0119217
111,"Gross:        $25,000,000        

      (USA)","Show detailed
company contact information
  on 
  IMDbPro »","Language:
English","Also Known As: Not Tonight, Josephine!
      
See more »","Production Co:

Ashton Productions,        
Mirisch Corporation, The 
See more »","Release Date: 14 April 1959 (Japan)
    
See more »","Budget:        $2,883,848        

      (estimated)","Show detailed
company contact information
  on 
  IMDbPro »","Sound Mix:
Mono
(Westrex Recording System)",tt0053291
112,"Budget:        $175,000,000        

      (estimated)","Gross:        $292,979,556        

      (USA)
(30 October 2009)","Country:
USA","Release Date: 29 May 2009 (USA)
    
See more »","Opening Weekend:         $68,108,790        

      (USA)
      (29 May 2009)","Language:
English","Filming Locations:
Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA

See more »","Gross:        $292,979,556        

      (USA)
(30 October 2009)","Show detailed
company contact information
  on 
  IMDbPro »",tt1049413
113,"Budget:        $14,400,000        

      (estimated)","Production Co:

Warner Bros.,        
Malpaso Productions 
See more »","Country:
USA","Release Date: 7 August 1992 (USA)
    
See more »","Gross:        $101,157,447        

      (USA)","Language:
English","Filming Locations:
Alberta, Canada

See more »","Production Co:

Warner Bros.,        
Malpaso Productions 
See more »","Runtime:
131 min",tt0105695
114,"Gross:        $449,191        

      (USA)
(20 November 2015)","Show detailed
company contact information
  on 
  IMDbPro »","Language:
English
|
German
|
Russian","Also Known As: The 3rd Man
      
See more »","Production Co:

Carol Reed's Production,        
London Film Productions 
See more »","Release Date: 31 August 1949 (UK)
    
See more »","Opening Weekend:         $13,576        

      (USA)
      (7 May 1999)","Show detailed
company contact information
  on 
  IMDbPro »","Sound Mix:
Mono
(Western Electric Recording)",tt0041959
115,"Budget:        $180,000        

      (estimated)","Gross:        $925,402        

      (USA)
(21 May 1999)","Country:
Iran","Release Date: 22 January 1999 (USA)
    
See more »","Opening Weekend:         $20,100        

      (USA)
      (22 January 1999)","Language:
Persian","Filming Locations:
Tehran, Iran","Gross:        $925,402        

      (USA)
(21 May 1999)","Show detailed
company contact information
  on 
  IMDbPro »",tt0118849
116,"Opening Weekend:         $13,568        

      (USA)
      (28 January 2005)","Production Co:

United Artists,        
Chartoff-Winkler Productions 
See more »","Language:
English","Also Known As: The Raging Bull
      
See more »","Gross:        $45,250        

      (USA)
(11 February 2005)","Release Date: 19 December 1980 (USA)
    
See more »","Budget:        $18,000,000        

      (estimated)","Production Co:

United Artists,        
Chartoff-Winkler Productions 
See more »","Runtime:
129 min
|
121 min
            (TV)",tt0081398
117,"Budget:        €13,500,000        

      (estimated)","Gross:        $5,501,940        

      (USA)
(10 June 2005)","Country:
Germany
|
Austria
|
Italy","Release Date: 8 April 2005 (USA)
    
See more »","Opening Weekend:         $210,232        

      (Austria)
      (17 September 2004)","Language:
German
|
Russian
|
Hungarian","Filming Locations:
Russia

See more »","Gross:        $5,501,940        

      (USA)
(10 June 2005)","Show detailed
company contact information
  on 
  IMDbPro »",tt0363163
118,"Budget:        $175,000,000        

      (estimated)","Gross:        $356,454,367        

      (USA)
(4 December 2015)","Country:
USA","Release Date: 19 June 2015 (USA)
    
See more »","Opening Weekend:         $90,440,272        

      (USA)
      (19 June 2015)","Language:
English","Filming Locations:
Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA","Gross:        $356,454,367        

      (USA)
(4 December 2015)","Show detailed
company contact information
  on 
  IMDbPro »",tt2096673
119,"Budget:        $28,000,000        

      (estimated)","Production Co:

Twentieth Century Fox Film Corporation,        
Gordon Company,        
Silver Pictures 
See more »","Country:
USA","Release Date: 20 July 1988 (USA)
    
See more »","Gross:        $81,350,242        

      (USA)","Language:
English
|
German
|
Italian","Filming Locations:
Los Angeles International Airport - 1 World Way, Los Angeles, California, USA

See more »","Production Co:

Twentieth Century Fox Film Corporation,        
Gordon Company,        
Silver Pictures 
See more »","Runtime:
131 min",tt0095016
120,"Production Co:

Mirisch Company, The,        
Alpha 
See more »","Runtime:
172 min","Language:
English
|
German
|
French
|
Russian","Also Known As: El gran escape
      
See more »","Show detailed
company contact information
  on 
  IMDbPro »","Release Date: 4 July 1963 (USA)
    
See more »","Budget:        $4,000,000        

      (estimated)","Runtime:
172 min","Color:
Color",tt0057115
121,"Production Co:

Paramount Pictures,        
Penthouse,        
Long Road Productions 
See more »","Runtime:
130 min","Language:
English
|
Cantonese
|
Spanish","Also Known As: Barrio Chino
      
See more »","Show detailed
company contact information
  on 
  IMDbPro »","Release Date: 20 June 1974 (USA)
    
See more »","Budget:        $6,000,000        

      (estimated)","Runtime:
130 min","Color:
Color
(Technicolor)",tt0071315
122,"Gross:        $67,436,000        

      (USA)","Show detailed
company contact information
  on 
  IMDbPro »","Language:
English
|
Spanish","Also Known As: Fuego contra fuego
      
See more »","Production Co:

Warner Bros.,        
Regency Enterprises,        
Forward Pass 
See more »","Release Date: 15 December 1995 (USA)
    
See more »","Budget:        $60,000,000        

      (estimated)","Show detailed
company contact information
  on 
  IMDbPro »","Sound Mix:
Dolby Digital
| SDDS",tt0113277
123,"Budget:        $13,000,000        

      (estimated)","Gross:        $14,677,654        

      (USA)
(22 April 2016)","Country:
Ireland
|
Canada
|
USA","Release Date: 22 January 2016 (USA)
    
See more »","Opening Weekend:         $118,298        

      (USA)
      (16 October 2015)","Language:
English","Filming Locations:
Toronto, Ontario, Canada

See more »","Gross:        $14,677,654        

      (USA)
(22 April 2016)","Show detailed
company contact information
  on 
  IMDbPro »",tt3170832
124,"Budget:        €13,500,000        

      (estimated)","Gross:        $37,623,143        

      (USA)
(8 June 2007)","Country:
Spain
|
Mexico
|
USA","Release Date: 19 January 2007 (USA)
    
See more »","Opening Weekend:         $501,691        

      (Mexico)
      (3 November 2006)","Language:
Spanish","Filming Locations:
Spain

See more »","Gross:        $37,623,143        

      (USA)
(8 June 2007)","Show detailed
company contact information
  on 
  IMDbPro »",tt0457430
125,"Budget:        $910,000        

      (estimated)","Production Co:

Columbia Pictures Corporation,        
Horizon Pictures 
See more »","Country:
USA","Release Date: 6 August 1954 (USA)
    
See more »","Gross:        $9,600,000        

      (USA)","Language:
English","Filming Locations:
Court Street, Hoboken, New Jersey, USA

See more »","Production Co:

Columbia Pictures Corporation,        
Horizon Pictures 
See more »","Runtime:
108 min",tt0047296
126,"Production Co:

Tokuma Japan Communications,        
Studio Ghibli,        
Nibariki 
See more »","Runtime:
86 min","Country:
Japan","Release Date: 16 April 1988 (Japan)
    
See more »","Show detailed
company contact information
  on 
  IMDbPro »","Language:
Japanese","Budget:        $3,700,000        

      (estimated)","Runtime:
86 min","Color:
Color",tt0096283
127,"Gross:        $55,240        

      (USA)
(26 September 2003)","Show detailed
company contact information
  on 
  IMDbPro »","Language:
Japanese","Also Known As: Ikiru
      
See more »","Production Co:

Toho Company 
See more »","Release Date: 25 March 1956 (USA)
    
See more »","Opening Weekend:         $7,590        

      (USA)
      (3 January 2003)","Show detailed
company contact information
  on 
  IMDbPro »","Sound Mix:
Mono",tt0044741
128,"Opening Weekend:         $3,567        

      (USA)
      (30 June 2000)","Production Co:

Greenwich Film Productions,        
Herald Ace,        
Nippon Herald Films 
See more »","Language:
Japanese","Also Known As: Ran
      
See more »","Gross:        $3,522,421        

      (USA)","Release Date: 1 June 1985 (Japan)
    
See more »","Budget:        $11,500,000        

      (estimated)","Production Co:

Greenwich Film Productions,        
Herald Ace,        
Nippon Herald Films 
See more »","Runtime:
162 min",tt0089881
129,"Production Co:

Charles Chaplin Productions 
See more »","Runtime:
95 min
            (original)
          |
72 min
            (1942 re-release)
          |
81 min
            (edited)","Language:
English","Also Known As: La quimera del oro
      
See more »","Show detailed
company contact information
  on 
  IMDbPro »","Release Date: 1925 (Germany)
    
See more »","Budget:        $923,000        

      (estimated)","Runtime:
95 min
            (original)
          |
72 min
            (1942 re-release)
          |
81 min
            (edited)","Color:
 Black and White",tt0015864
